result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst TwoQ cache size  4743040, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst TwoQ cache size  9486081, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst TwoQ cache size 18972163, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst TwoQ cache size 37944327, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    47430, 75570781 req, miss ratio 0.6280, byte miss ratio 0.6280
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   142291, 75570781 req, miss ratio 0.6278, byte miss ratio 0.6278
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   474304, 75570781 req, miss ratio 0.6277, byte miss ratio 0.6277
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1422912, 75570781 req, miss ratio 0.6277, byte miss ratio 0.6277
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  4743040, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  9486081, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 18972163, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 37944327, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    47430, 75570781 req, miss ratio 0.6285, byte miss ratio 0.6285
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   142291, 75570781 req, miss ratio 0.6280, byte miss ratio 0.6280
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   474304, 75570781 req, miss ratio 0.6278, byte miss ratio 0.6278
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1422912, 75570781 req, miss ratio 0.6277, byte miss ratio 0.6277
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  4743040, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  9486081, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
