result/cdn2_colo28.ns768.oracleGeneral.zst LeCaR cache size       34, 5103806 req, miss ratio 0.9368, byte miss ratio 0.9368
result/cdn2_colo28.ns768.oracleGeneral.zst LeCaR cache size      115, 5103806 req, miss ratio 0.8053, byte miss ratio 0.8053
result/cdn2_colo28.ns768.oracleGeneral.zst LeCaR cache size      346, 5103806 req, miss ratio 0.5445, byte miss ratio 0.5445
result/cdn2_colo28.ns768.oracleGeneral.zst LeCaR cache size     1155, 5103806 req, miss ratio 0.1355, byte miss ratio 0.1355
result/cdn2_colo28.ns768.oracleGeneral.zst LeCaR cache size     2311, 5103806 req, miss ratio 0.0445, byte miss ratio 0.0445
result/cdn2_colo28.ns768.oracleGeneral.zst LeCaR cache size     4622, 5103806 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_colo28.ns768.oracleGeneral.zst LeCaR cache size     9245, 5103806 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns768.oracleGeneral.zst clock2 cache size       11, 5103806 req, miss ratio 0.9795, byte miss ratio 0.9795
result/cdn2_colo28.ns768.oracleGeneral.zst clock2 cache size       34, 5103806 req, miss ratio 0.9404, byte miss ratio 0.9404
result/cdn2_colo28.ns768.oracleGeneral.zst clock2 cache size      115, 5103806 req, miss ratio 0.7990, byte miss ratio 0.7990
result/cdn2_colo28.ns768.oracleGeneral.zst clock2 cache size      346, 5103806 req, miss ratio 0.5205, byte miss ratio 0.5205
result/cdn2_colo28.ns768.oracleGeneral.zst clock2 cache size     1155, 5103806 req, miss ratio 0.1318, byte miss ratio 0.1318
result/cdn2_colo28.ns768.oracleGeneral.zst clock2 cache size     2311, 5103806 req, miss ratio 0.0429, byte miss ratio 0.0429
result/cdn2_colo28.ns768.oracleGeneral.zst clock2 cache size     4622, 5103806 req, miss ratio 0.0141, byte miss ratio 0.0141
result/cdn2_colo28.ns768.oracleGeneral.zst clock2 cache size     9245, 5103806 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d-1 cache size       11, 5103806 req, miss ratio 0.9444, byte miss ratio 0.9444
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d-1 cache size       34, 5103806 req, miss ratio 0.8685, byte miss ratio 0.8685
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d-1 cache size      115, 5103806 req, miss ratio 0.7189, byte miss ratio 0.7189
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d-1 cache size      346, 5103806 req, miss ratio 0.4751, byte miss ratio 0.4751
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d-1 cache size     1155, 5103806 req, miss ratio 0.1226, byte miss ratio 0.1226
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d-1 cache size     2311, 5103806 req, miss ratio 0.0415, byte miss ratio 0.0415
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d-1 cache size     4622, 5103806 req, miss ratio 0.0139, byte miss ratio 0.0139
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d-1 cache size     9245, 5103806 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns768.oracleGeneral.zst LRB cache size       11, 5103806 req, miss ratio 0.9438, byte miss ratio 0.9438
result/cdn2_colo28.ns768.oracleGeneral.zst LRB cache size       34, 5103806 req, miss ratio 0.8498, byte miss ratio 0.8498
result/cdn2_colo28.ns768.oracleGeneral.zst LRB cache size      115, 5103806 req, miss ratio 0.6684, byte miss ratio 0.6684
result/cdn2_colo28.ns768.oracleGeneral.zst LRB cache size      346, 5103806 req, miss ratio 0.4269, byte miss ratio 0.4269
result/cdn2_colo28.ns768.oracleGeneral.zst LRB cache size     1155, 5103806 req, miss ratio 0.1007, byte miss ratio 0.1007
result/cdn2_colo28.ns768.oracleGeneral.zst LRB cache size     2311, 5103806 req, miss ratio 0.0368, byte miss ratio 0.0368
