result/cdn2_allcolo.ns312.oracleGeneral.zst Cacheus cache size   100417, 8780879 req, miss ratio 0.0143, byte miss ratio 0.0143
result/cdn2_allcolo.ns312.oracleGeneral.zst LHD cache size      125, 8780879 req, miss ratio 0.9222, byte miss ratio 0.9222
result/cdn2_allcolo.ns312.oracleGeneral.zst LHD cache size      376, 8780879 req, miss ratio 0.8786, byte miss ratio 0.8786
result/cdn2_allcolo.ns312.oracleGeneral.zst LHD cache size     1255, 8780879 req, miss ratio 0.7509, byte miss ratio 0.7509
result/cdn2_allcolo.ns312.oracleGeneral.zst LHD cache size     3765, 8780879 req, miss ratio 0.5751, byte miss ratio 0.5751
result/cdn2_allcolo.ns312.oracleGeneral.zst LHD cache size    12552, 8780879 req, miss ratio 0.3033, byte miss ratio 0.3033
result/cdn2_allcolo.ns312.oracleGeneral.zst LHD cache size    25104, 8780879 req, miss ratio 0.1337, byte miss ratio 0.1337
result/cdn2_allcolo.ns312.oracleGeneral.zst LHD cache size    50208, 8780879 req, miss ratio 0.0242, byte miss ratio 0.0242
result/cdn2_allcolo.ns312.oracleGeneral.zst LHD cache size   100417, 8780879 req, miss ratio 0.0144, byte miss ratio 0.0144
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d-1 cache size      125, 8780879 req, miss ratio 0.8762, byte miss ratio 0.8762
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d-1 cache size      376, 8780879 req, miss ratio 0.7965, byte miss ratio 0.7965
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d-1 cache size     1255, 8780879 req, miss ratio 0.6708, byte miss ratio 0.6708
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d-1 cache size     3765, 8780879 req, miss ratio 0.5176, byte miss ratio 0.5176
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d-1 cache size    12552, 8780879 req, miss ratio 0.2827, byte miss ratio 0.2827
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d-1 cache size    25104, 8780879 req, miss ratio 0.1218, byte miss ratio 0.1218
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d-1 cache size    50208, 8780879 req, miss ratio 0.0212, byte miss ratio 0.0212
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d-1 cache size   100417, 8780879 req, miss ratio 0.0144, byte miss ratio 0.0144
result/cdn2_allcolo.ns312.oracleGeneral.zst LRB cache size      125, 8780879 req, miss ratio 0.8613, byte miss ratio 0.8613
result/cdn2_allcolo.ns312.oracleGeneral.zst LRB cache size      376, 8780879 req, miss ratio 0.7783, byte miss ratio 0.7783
result/cdn2_allcolo.ns312.oracleGeneral.zst LRB cache size     1255, 8780879 req, miss ratio 0.6482, byte miss ratio 0.6482
result/cdn2_allcolo.ns312.oracleGeneral.zst LRB cache size     3765, 8780879 req, miss ratio 0.4848, byte miss ratio 0.4848
result/cdn2_allcolo.ns312.oracleGeneral.zst LRB cache size    12552, 8780879 req, miss ratio 0.2500, byte miss ratio 0.2500
result/cdn2_allcolo.ns312.oracleGeneral.zst LRB cache size    25104, 8780879 req, miss ratio 0.1131, byte miss ratio 0.1131
result/cdn2_allcolo.ns312.oracleGeneral.zst LRB cache size    50208, 8780879 req, miss ratio 0.0296, byte miss ratio 0.0296
result/cdn2_allcolo.ns312.oracleGeneral.zst LRB cache size   100417, 8780879 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      125, 8780879 req, miss ratio 0.9168, byte miss ratio 0.9168
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      376, 8780879 req, miss ratio 0.8650, byte miss ratio 0.8650
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1255, 8780879 req, miss ratio 0.7556, byte miss ratio 0.7556
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3765, 8780879 req, miss ratio 0.5846, byte miss ratio 0.5846
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    12552, 8780879 req, miss ratio 0.3157, byte miss ratio 0.3157
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    25104, 8780879 req, miss ratio 0.1424, byte miss ratio 0.1424
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    50208, 8780879 req, miss ratio 0.0325, byte miss ratio 0.0325
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   100417, 8780879 req, miss ratio 0.0158, byte miss ratio 0.0158
result/cdn2_allcolo.ns312.oracleGeneral.zst B-LRU cache size      125, 8780879 req, miss ratio 0.9311, byte miss ratio 0.9311
result/cdn2_allcolo.ns312.oracleGeneral.zst B-LRU cache size      376, 8780879 req, miss ratio 0.8830, byte miss ratio 0.8830
result/cdn2_allcolo.ns312.oracleGeneral.zst B-LRU cache size     1255, 8780879 req, miss ratio 0.7796, byte miss ratio 0.7796
result/cdn2_allcolo.ns312.oracleGeneral.zst B-LRU cache size     3765, 8780879 req, miss ratio 0.6106, byte miss ratio 0.6106
result/cdn2_allcolo.ns312.oracleGeneral.zst B-LRU cache size    12552, 8780879 req, miss ratio 0.3305, byte miss ratio 0.3305
result/cdn2_allcolo.ns312.oracleGeneral.zst B-LRU cache size    25104, 8780879 req, miss ratio 0.1414, byte miss ratio 0.1414
result/cdn2_allcolo.ns312.oracleGeneral.zst B-LRU cache size    50208, 8780879 req, miss ratio 0.0275, byte miss ratio 0.0275
result/cdn2_allcolo.ns312.oracleGeneral.zst B-LRU cache size   100417, 8780879 req, miss ratio 0.0247, byte miss ratio 0.0247
result/cdn2_allcolo.ns312.oracleGeneral.zst TwoQ cache size      125, 8780879 req, miss ratio 0.8809, byte miss ratio 0.8809
result/cdn2_allcolo.ns312.oracleGeneral.zst TwoQ cache size      376, 8780879 req, miss ratio 0.8087, byte miss ratio 0.8087
