result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d-1 cache size      466, 1611766 req, miss ratio 0.3558, byte miss ratio 0.3558
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d-1 cache size     1554, 1611766 req, miss ratio 0.3534, byte miss ratio 0.3534
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d-1 cache size     4662, 1611766 req, miss ratio 0.3527, byte miss ratio 0.3527
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d-1 cache size    15540, 1611766 req, miss ratio 0.3081, byte miss ratio 0.3081
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d-1 cache size    31081, 1611766 req, miss ratio 0.2571, byte miss ratio 0.2571
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d-1 cache size    62163, 1611766 req, miss ratio 0.1556, byte miss ratio 0.1556
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d-1 cache size   124326, 1611766 req, miss ratio 0.1110, byte miss ratio 0.1110
result/tencentBlock.ns22437.oracleGeneral.zst LRB cache size      155, 1611766 req, miss ratio 0.5882, byte miss ratio 0.5882
result/tencentBlock.ns22437.oracleGeneral.zst LRB cache size      466, 1611766 req, miss ratio 0.4666, byte miss ratio 0.4666
result/tencentBlock.ns22437.oracleGeneral.zst LRB cache size     1554, 1611766 req, miss ratio 0.3707, byte miss ratio 0.3707
result/tencentBlock.ns22437.oracleGeneral.zst LRB cache size     4662, 1611766 req, miss ratio 0.3339, byte miss ratio 0.3339
result/tencentBlock.ns22437.oracleGeneral.zst LRB cache size    15540, 1611766 req, miss ratio 0.2635, byte miss ratio 0.2635
result/tencentBlock.ns22437.oracleGeneral.zst LRB cache size    31081, 1611766 req, miss ratio 0.1920, byte miss ratio 0.1920
result/tencentBlock.ns22437.oracleGeneral.zst LRB cache size    62163, 1611766 req, miss ratio 0.1337, byte miss ratio 0.1337
result/tencentBlock.ns22437.oracleGeneral.zst LRB cache size   124326, 1611766 req, miss ratio 0.1025, byte miss ratio 0.1025
result/tencentBlock.ns22437.oracleGeneral.zst B-LRU cache size      155, 1611766 req, miss ratio 0.4404, byte miss ratio 0.4404
result/tencentBlock.ns22437.oracleGeneral.zst B-LRU cache size      466, 1611766 req, miss ratio 0.4299, byte miss ratio 0.4299
result/tencentBlock.ns22437.oracleGeneral.zst B-LRU cache size     1554, 1611766 req, miss ratio 0.4267, byte miss ratio 0.4267
result/tencentBlock.ns22437.oracleGeneral.zst B-LRU cache size     4662, 1611766 req, miss ratio 0.4249, byte miss ratio 0.4249
result/tencentBlock.ns22437.oracleGeneral.zst B-LRU cache size    15540, 1611766 req, miss ratio 0.3731, byte miss ratio 0.3731
result/tencentBlock.ns22437.oracleGeneral.zst B-LRU cache size    31081, 1611766 req, miss ratio 0.3239, byte miss ratio 0.3239
result/tencentBlock.ns22437.oracleGeneral.zst B-LRU cache size    62163, 1611766 req, miss ratio 0.2404, byte miss ratio 0.2404
result/tencentBlock.ns22437.oracleGeneral.zst B-LRU cache size   124326, 1611766 req, miss ratio 0.1968, byte miss ratio 0.1968
result/tencentBlock.ns22437.oracleGeneral.zst TwoQ cache size      155, 1611766 req, miss ratio 0.3619, byte miss ratio 0.3619
result/tencentBlock.ns22437.oracleGeneral.zst TwoQ cache size      466, 1611766 req, miss ratio 0.3552, byte miss ratio 0.3552
result/tencentBlock.ns22437.oracleGeneral.zst TwoQ cache size     1554, 1611766 req, miss ratio 0.3534, byte miss ratio 0.3534
result/tencentBlock.ns22437.oracleGeneral.zst TwoQ cache size     4662, 1611766 req, miss ratio 0.3527, byte miss ratio 0.3527
result/tencentBlock.ns22437.oracleGeneral.zst TwoQ cache size    15540, 1611766 req, miss ratio 0.2777, byte miss ratio 0.2777
result/tencentBlock.ns22437.oracleGeneral.zst TwoQ cache size    31081, 1611766 req, miss ratio 0.2126, byte miss ratio 0.2126
result/tencentBlock.ns22437.oracleGeneral.zst TwoQ cache size    62163, 1611766 req, miss ratio 0.1489, byte miss ratio 0.1489
result/tencentBlock.ns22437.oracleGeneral.zst TwoQ cache size   124326, 1611766 req, miss ratio 0.1235, byte miss ratio 0.1235
result/tencentBlock.ns22437.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      155, 1611766 req, miss ratio 0.3984, byte miss ratio 0.3984
result/tencentBlock.ns22437.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      466, 1611766 req, miss ratio 0.3629, byte miss ratio 0.3629
result/tencentBlock.ns22437.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1554, 1611766 req, miss ratio 0.3562, byte miss ratio 0.3562
result/tencentBlock.ns22437.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4662, 1611766 req, miss ratio 0.3538, byte miss ratio 0.3538
result/tencentBlock.ns22437.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15540, 1611766 req, miss ratio 0.3430, byte miss ratio 0.3430
