result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst TwoQ cache size  3704586, 68896859 req, miss ratio 0.2315, byte miss ratio 0.2315
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst TwoQ cache size  7409172, 68896859 req, miss ratio 0.1659, byte miss ratio 0.1659
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     9261, 68896859 req, miss ratio 0.4692, byte miss ratio 0.4692
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    27784, 68896859 req, miss ratio 0.4652, byte miss ratio 0.4652
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    92614, 68896859 req, miss ratio 0.4579, byte miss ratio 0.4579
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   277843, 68896859 req, miss ratio 0.4435, byte miss ratio 0.4435
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   926146, 68896859 req, miss ratio 0.3934, byte miss ratio 0.3934
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1852293, 68896859 req, miss ratio 0.3289, byte miss ratio 0.3289
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3704586, 68896859 req, miss ratio 0.2431, byte miss ratio 0.2431
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  7409172, 68896859 req, miss ratio 0.1370, byte miss ratio 0.1370
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size     9261, 68896859 req, miss ratio 0.6041, byte miss ratio 0.6041
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size    27784, 68896859 req, miss ratio 0.6004, byte miss ratio 0.6004
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size    92614, 68896859 req, miss ratio 0.5939, byte miss ratio 0.5939
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size   277843, 68896859 req, miss ratio 0.5838, byte miss ratio 0.5838
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size   926146, 68896859 req, miss ratio 0.5632, byte miss ratio 0.5632
