result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRB cache size   324667, 288703872 req, miss ratio 0.0370, byte miss ratio 0.0370
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRB cache size   649334, 288703872 req, miss ratio 0.0145, byte miss ratio 0.0145
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRB cache size  1298668, 288703872 req, miss ratio 0.0060, byte miss ratio 0.0060
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst TwoQ cache size     1623, 288703872 req, miss ratio 0.2831, byte miss ratio 0.2831
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst TwoQ cache size     4870, 288703872 req, miss ratio 0.2194, byte miss ratio 0.2194
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst TwoQ cache size    16233, 288703872 req, miss ratio 0.1480, byte miss ratio 0.1480
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst TwoQ cache size    48700, 288703872 req, miss ratio 0.0944, byte miss ratio 0.0944
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst TwoQ cache size   162333, 288703872 req, miss ratio 0.0586, byte miss ratio 0.0586
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst TwoQ cache size   324667, 288703872 req, miss ratio 0.0459, byte miss ratio 0.0459
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst TwoQ cache size   649334, 288703872 req, miss ratio 0.0183, byte miss ratio 0.0183
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst TwoQ cache size  1298668, 288703872 req, miss ratio 0.0083, byte miss ratio 0.0083
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1623, 288703872 req, miss ratio 0.3147, byte miss ratio 0.3147
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     4870, 288703872 req, miss ratio 0.2449, byte miss ratio 0.2449
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    16233, 288703872 req, miss ratio 0.1666, byte miss ratio 0.1666
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    48700, 288703872 req, miss ratio 0.1070, byte miss ratio 0.1070
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   162333, 288703872 req, miss ratio 0.0643, byte miss ratio 0.0643
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   324667, 288703872 req, miss ratio 0.0471, byte miss ratio 0.0471
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   649334, 288703872 req, miss ratio 0.0205, byte miss ratio 0.0205
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1298668, 288703872 req, miss ratio 0.0075, byte miss ratio 0.0075
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1623, 288703872 req, miss ratio 0.3062, byte miss ratio 0.3062
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     4870, 288703872 req, miss ratio 0.2397, byte miss ratio 0.2397
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    16233, 288703872 req, miss ratio 0.1645, byte miss ratio 0.1645
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    48700, 288703872 req, miss ratio 0.1057, byte miss ratio 0.1057
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   162333, 288703872 req, miss ratio 0.0635, byte miss ratio 0.0635
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   324667, 288703872 req, miss ratio 0.0488, byte miss ratio 0.0488
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   649334, 288703872 req, miss ratio 0.0170, byte miss ratio 0.0170
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1298668, 288703872 req, miss ratio 0.0060, byte miss ratio 0.0060
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst B-LRU cache size     1623, 288703872 req, miss ratio 0.3236, byte miss ratio 0.3236
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst B-LRU cache size     4870, 288703872 req, miss ratio 0.2547, byte miss ratio 0.2547
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst B-LRU cache size    16233, 288703872 req, miss ratio 0.1759, byte miss ratio 0.1759
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst B-LRU cache size    48700, 288703872 req, miss ratio 0.1147, byte miss ratio 0.1147
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst B-LRU cache size   162333, 288703872 req, miss ratio 0.0711, byte miss ratio 0.0711
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst B-LRU cache size   324667, 288703872 req, miss ratio 0.0559, byte miss ratio 0.0559
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst B-LRU cache size   649334, 288703872 req, miss ratio 0.0230, byte miss ratio 0.0230
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst B-LRU cache size  1298668, 288703872 req, miss ratio 0.0117, byte miss ratio 0.0117
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     1623, 288703872 req, miss ratio 0.2990, byte miss ratio 0.2990
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     4870, 288703872 req, miss ratio 0.2324, byte miss ratio 0.2324
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    16233, 288703872 req, miss ratio 0.1582, byte miss ratio 0.1582
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    48700, 288703872 req, miss ratio 0.1006, byte miss ratio 0.1006
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   162333, 288703872 req, miss ratio 0.0606, byte miss ratio 0.0606
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   324667, 288703872 req, miss ratio 0.0461, byte miss ratio 0.0461
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   649334, 288703872 req, miss ratio 0.0154, byte miss ratio 0.0154
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  1298668, 288703872 req, miss ratio 0.0062, byte miss ratio 0.0062
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     1623, 288703872 req, miss ratio 0.3171, byte miss ratio 0.3171
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     4870, 288703872 req, miss ratio 0.2476, byte miss ratio 0.2476
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    16233, 288703872 req, miss ratio 0.1743, byte miss ratio 0.1743
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    48700, 288703872 req, miss ratio 0.1118, byte miss ratio 0.1118
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   162333, 288703872 req, miss ratio 0.0598, byte miss ratio 0.0598
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   324667, 288703872 req, miss ratio 0.0451, byte miss ratio 0.0451
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   649334, 288703872 req, miss ratio 0.0148, byte miss ratio 0.0148
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  1298668, 288703872 req, miss ratio 0.0062, byte miss ratio 0.0062
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1623, 288703872 req, miss ratio 0.2785, byte miss ratio 0.2785
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     4870, 288703872 req, miss ratio 0.2163, byte miss ratio 0.2163
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    16233, 288703872 req, miss ratio 0.1475, byte miss ratio 0.1475
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    48700, 288703872 req, miss ratio 0.0964, byte miss ratio 0.0964
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   162333, 288703872 req, miss ratio 0.0662, byte miss ratio 0.0662
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   324667, 288703872 req, miss ratio 0.0396, byte miss ratio 0.0396
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   649334, 288703872 req, miss ratio 0.0148, byte miss ratio 0.0148
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1298668, 288703872 req, miss ratio 0.0062, byte miss ratio 0.0062
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1623, 288703872 req, miss ratio 0.2792, byte miss ratio 0.2792
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     4870, 288703872 req, miss ratio 0.2154, byte miss ratio 0.2154
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    16233, 288703872 req, miss ratio 0.1592, byte miss ratio 0.1592
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    48700, 288703872 req, miss ratio 0.1058, byte miss ratio 0.1058
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   162333, 288703872 req, miss ratio 0.0653, byte miss ratio 0.0653
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   324667, 288703872 req, miss ratio 0.0394, byte miss ratio 0.0394
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   649334, 288703872 req, miss ratio 0.0148, byte miss ratio 0.0148
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1298668, 288703872 req, miss ratio 0.0065, byte miss ratio 0.0065
