result/cdn2_allcolo.ns2571.oracleGeneral.zst TwoQ cache size      158, 1066831 req, miss ratio 0.0301, byte miss ratio 0.0301
result/cdn2_allcolo.ns2571.oracleGeneral.zst TwoQ cache size      317, 1066831 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns2571.oracleGeneral.zst TwoQ cache size      634, 1066831 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns2571.oracleGeneral.zst B-LRU cache size        7, 1066831 req, miss ratio 0.5746, byte miss ratio 0.5746
result/cdn2_allcolo.ns2571.oracleGeneral.zst B-LRU cache size       23, 1066831 req, miss ratio 0.3179, byte miss ratio 0.3179
result/cdn2_allcolo.ns2571.oracleGeneral.zst B-LRU cache size       79, 1066831 req, miss ratio 0.0987, byte miss ratio 0.0987
result/cdn2_allcolo.ns2571.oracleGeneral.zst B-LRU cache size      158, 1066831 req, miss ratio 0.0283, byte miss ratio 0.0283
result/cdn2_allcolo.ns2571.oracleGeneral.zst B-LRU cache size      317, 1066831 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns2571.oracleGeneral.zst B-LRU cache size      634, 1066831 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns2571.oracleGeneral.zst S4LRU(25:25:25:25) cache size        7, 1066831 req, miss ratio 0.5311, byte miss ratio 0.5311
result/cdn2_allcolo.ns2571.oracleGeneral.zst S4LRU(25:25:25:25) cache size       23, 1066831 req, miss ratio 0.2697, byte miss ratio 0.2697
result/cdn2_allcolo.ns2571.oracleGeneral.zst S4LRU(25:25:25:25) cache size       79, 1066831 req, miss ratio 0.0831, byte miss ratio 0.0831
result/cdn2_allcolo.ns2571.oracleGeneral.zst S4LRU(25:25:25:25) cache size      158, 1066831 req, miss ratio 0.0246, byte miss ratio 0.0246
result/cdn2_allcolo.ns2571.oracleGeneral.zst S4LRU(25:25:25:25) cache size      317, 1066831 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns2571.oracleGeneral.zst S4LRU(25:25:25:25) cache size      634, 1066831 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns2571.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        7, 1066831 req, miss ratio 0.6114, byte miss ratio 0.6114
result/cdn2_allcolo.ns2571.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       23, 1066831 req, miss ratio 0.3753, byte miss ratio 0.3753
result/cdn2_allcolo.ns2571.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       79, 1066831 req, miss ratio 0.1400, byte miss ratio 0.1400
result/cdn2_allcolo.ns2571.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      158, 1066831 req, miss ratio 0.0351, byte miss ratio 0.0351
result/cdn2_allcolo.ns2571.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      317, 1066831 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn2_allcolo.ns2571.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      634, 1066831 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-d cache size        7, 1066831 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-d cache size       23, 1066831 req, miss ratio 0.2517, byte miss ratio 0.2517
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-d cache size       79, 1066831 req, miss ratio 0.0887, byte miss ratio 0.0887
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-d cache size      158, 1066831 req, miss ratio 0.0254, byte miss ratio 0.0254
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-d cache size      317, 1066831 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-d cache size      634, 1066831 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO cache size        7, 1066831 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO cache size       23, 1066831 req, miss ratio 0.2512, byte miss ratio 0.2512
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO cache size       79, 1066831 req, miss ratio 0.0803, byte miss ratio 0.0803
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO cache size      158, 1066831 req, miss ratio 0.0234, byte miss ratio 0.0234
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO cache size      317, 1066831 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO cache size      634, 1066831 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns2571.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        7, 1066831 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2571.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       23, 1066831 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2571.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       79, 1066831 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2571.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      158, 1066831 req, miss ratio 0.0220, byte miss ratio 0.0220
result/cdn2_allcolo.ns2571.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      317, 1066831 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns2571.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      634, 1066831 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns2571.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        7, 1066831 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2571.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       23, 1066831 req, miss ratio 0.2493, byte miss ratio 0.2493
result/cdn2_allcolo.ns2571.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       79, 1066831 req, miss ratio 0.0775, byte miss ratio 0.0775
result/cdn2_allcolo.ns2571.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      158, 1066831 req, miss ratio 0.0226, byte miss ratio 0.0226
result/cdn2_allcolo.ns2571.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      317, 1066831 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns2571.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      634, 1066831 req, miss ratio 0.0010, byte miss ratio 0.0010
