result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst ARC cache size   276867, 113499024 req, miss ratio 0.0380, byte miss ratio 0.0380
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst ARC cache size   553734, 113499024 req, miss ratio 0.0218, byte miss ratio 0.0218
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst ARC cache size  1107469, 113499024 req, miss ratio 0.0127, byte miss ratio 0.0127
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1384, 113499024 req, miss ratio 0.5315, byte miss ratio 0.5315
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     4153, 113499024 req, miss ratio 0.3704, byte miss ratio 0.3704
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    13843, 113499024 req, miss ratio 0.2089, byte miss ratio 0.2089
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    41530, 113499024 req, miss ratio 0.1164, byte miss ratio 0.1164
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   138433, 113499024 req, miss ratio 0.0576, byte miss ratio 0.0576
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   276867, 113499024 req, miss ratio 0.0355, byte miss ratio 0.0355
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   553734, 113499024 req, miss ratio 0.0208, byte miss ratio 0.0208
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1107469, 113499024 req, miss ratio 0.0134, byte miss ratio 0.0134
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRB cache size     1384, 113499024 req, miss ratio 0.5322, byte miss ratio 0.5322
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRB cache size     4153, 113499024 req, miss ratio 0.3688, byte miss ratio 0.3688
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRB cache size    13843, 113499024 req, miss ratio 0.2098, byte miss ratio 0.2098
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRB cache size    41530, 113499024 req, miss ratio 0.1152, byte miss ratio 0.1152
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRB cache size   138433, 113499024 req, miss ratio 0.0565, byte miss ratio 0.0565
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRB cache size   276867, 113499024 req, miss ratio 0.0354, byte miss ratio 0.0354
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRB cache size   553734, 113499024 req, miss ratio 0.0201, byte miss ratio 0.0201
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRB cache size  1107469, 113499024 req, miss ratio 0.0127, byte miss ratio 0.0127
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst TwoQ cache size     1384, 113499024 req, miss ratio 0.5265, byte miss ratio 0.5265
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst TwoQ cache size     4153, 113499024 req, miss ratio 0.3710, byte miss ratio 0.3710
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst TwoQ cache size    13843, 113499024 req, miss ratio 0.2138, byte miss ratio 0.2138
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst TwoQ cache size    41530, 113499024 req, miss ratio 0.1179, byte miss ratio 0.1179
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst TwoQ cache size   138433, 113499024 req, miss ratio 0.0584, byte miss ratio 0.0584
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst TwoQ cache size   276867, 113499024 req, miss ratio 0.0364, byte miss ratio 0.0364
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst TwoQ cache size   553734, 113499024 req, miss ratio 0.0225, byte miss ratio 0.0225
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst TwoQ cache size  1107469, 113499024 req, miss ratio 0.0152, byte miss ratio 0.0152
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1384, 113499024 req, miss ratio 0.5438, byte miss ratio 0.5438
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     4153, 113499024 req, miss ratio 0.3767, byte miss ratio 0.3767
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    13843, 113499024 req, miss ratio 0.2120, byte miss ratio 0.2120
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    41530, 113499024 req, miss ratio 0.1178, byte miss ratio 0.1178
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   138433, 113499024 req, miss ratio 0.0577, byte miss ratio 0.0577
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   276867, 113499024 req, miss ratio 0.0367, byte miss ratio 0.0367
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   553734, 113499024 req, miss ratio 0.0211, byte miss ratio 0.0211
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1107469, 113499024 req, miss ratio 0.0127, byte miss ratio 0.0127
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1384, 113499024 req, miss ratio 0.5685, byte miss ratio 0.5685
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     4153, 113499024 req, miss ratio 0.4013, byte miss ratio 0.4013
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    13843, 113499024 req, miss ratio 0.2331, byte miss ratio 0.2331
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    41530, 113499024 req, miss ratio 0.1305, byte miss ratio 0.1305
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   138433, 113499024 req, miss ratio 0.0636, byte miss ratio 0.0636
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   276867, 113499024 req, miss ratio 0.0392, byte miss ratio 0.0392
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   553734, 113499024 req, miss ratio 0.0232, byte miss ratio 0.0232
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1107469, 113499024 req, miss ratio 0.0143, byte miss ratio 0.0143
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst B-LRU cache size     1384, 113499024 req, miss ratio 0.5820, byte miss ratio 0.5820
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst B-LRU cache size     4153, 113499024 req, miss ratio 0.4032, byte miss ratio 0.4032
