result/io_traces.ns372.oracleGeneral.zst Cacheus cache size    29257, 18400000 req, miss ratio 0.2829, byte miss ratio 0.2829
result/io_traces.ns372.oracleGeneral.zst Cacheus cache size    97523, 18400000 req, miss ratio 0.0748, byte miss ratio 0.0748
result/io_traces.ns372.oracleGeneral.zst Cacheus cache size   195047, 18400000 req, miss ratio 0.0692, byte miss ratio 0.0692
result/io_traces.ns372.oracleGeneral.zst Cacheus cache size   390094, 18400000 req, miss ratio 0.0613, byte miss ratio 0.0613
result/io_traces.ns372.oracleGeneral.zst Cacheus cache size   780188, 18400000 req, miss ratio 0.0541, byte miss ratio 0.0541
result/io_traces.ns372.oracleGeneral.zst S3FIFO-1 cache size      975, 18400000 req, miss ratio 0.6197, byte miss ratio 0.6197
result/io_traces.ns372.oracleGeneral.zst S3FIFO-1 cache size     2925, 18400000 req, miss ratio 0.5867, byte miss ratio 0.5867
result/io_traces.ns372.oracleGeneral.zst S3FIFO-1 cache size     9752, 18400000 req, miss ratio 0.5270, byte miss ratio 0.5270
result/io_traces.ns372.oracleGeneral.zst S3FIFO-1 cache size    29257, 18400000 req, miss ratio 0.2720, byte miss ratio 0.2720
result/io_traces.ns372.oracleGeneral.zst S3FIFO-1 cache size    97523, 18400000 req, miss ratio 0.0731, byte miss ratio 0.0731
result/io_traces.ns372.oracleGeneral.zst S3FIFO-1 cache size   195047, 18400000 req, miss ratio 0.0688, byte miss ratio 0.0688
result/io_traces.ns372.oracleGeneral.zst S3FIFO-1 cache size   390094, 18400000 req, miss ratio 0.0582, byte miss ratio 0.0582
result/io_traces.ns372.oracleGeneral.zst S3FIFO-1 cache size   780188, 18400000 req, miss ratio 0.0537, byte miss ratio 0.0537
result/io_traces.ns372.oracleGeneral.zst S3FIFO-d-1 cache size      975, 18400000 req, miss ratio 0.6189, byte miss ratio 0.6189
result/io_traces.ns372.oracleGeneral.zst S3FIFO-d-1 cache size     2925, 18400000 req, miss ratio 0.5855, byte miss ratio 0.5855
result/io_traces.ns372.oracleGeneral.zst S3FIFO-d-1 cache size     9752, 18400000 req, miss ratio 0.5416, byte miss ratio 0.5416
result/io_traces.ns372.oracleGeneral.zst S3FIFO-d-1 cache size    29257, 18400000 req, miss ratio 0.2658, byte miss ratio 0.2658
result/io_traces.ns372.oracleGeneral.zst S3FIFO-d-1 cache size    97523, 18400000 req, miss ratio 0.0731, byte miss ratio 0.0731
result/io_traces.ns372.oracleGeneral.zst S3FIFO-d-1 cache size   195047, 18400000 req, miss ratio 0.0687, byte miss ratio 0.0687
