result/passbird_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  4818422, 496711804 req, miss ratio 0.0122, byte miss ratio 0.0122
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     6023, 496711804 req, miss ratio 0.0812, byte miss ratio 0.0812
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    18069, 496711804 req, miss ratio 0.0477, byte miss ratio 0.0477
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    60230, 496711804 req, miss ratio 0.0314, byte miss ratio 0.0314
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   180690, 496711804 req, miss ratio 0.0243, byte miss ratio 0.0243
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   602302, 496711804 req, miss ratio 0.0171, byte miss ratio 0.0171
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1204605, 496711804 req, miss ratio 0.0139, byte miss ratio 0.0139
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  2409211, 496711804 req, miss ratio 0.0128, byte miss ratio 0.0128
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  4818422, 496711804 req, miss ratio 0.0122, byte miss ratio 0.0122
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     6023, 496711804 req, miss ratio 0.0823, byte miss ratio 0.0823
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    18069, 496711804 req, miss ratio 0.0465, byte miss ratio 0.0465
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    60230, 496711804 req, miss ratio 0.0310, byte miss ratio 0.0310
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   180690, 496711804 req, miss ratio 0.0243, byte miss ratio 0.0243
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   602302, 496711804 req, miss ratio 0.0170, byte miss ratio 0.0170
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1204605, 496711804 req, miss ratio 0.0140, byte miss ratio 0.0140
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  2409211, 496711804 req, miss ratio 0.0127, byte miss ratio 0.0127
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  4818422, 496711804 req, miss ratio 0.0122, byte miss ratio 0.0122
result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     6023, 496711804 req, miss ratio 0.1041, byte miss ratio 0.1041
result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    18069, 496711804 req, miss ratio 0.0645, byte miss ratio 0.0645
result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    60230, 496711804 req, miss ratio 0.0430, byte miss ratio 0.0430
result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   180690, 496711804 req, miss ratio 0.0308, byte miss ratio 0.0308
result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   602302, 496711804 req, miss ratio 0.0196, byte miss ratio 0.0196
result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1204605, 496711804 req, miss ratio 0.0158, byte miss ratio 0.0158
