result/cdn2_colo28.ns172.oracleGeneral.zst LeCaR cache size   308102, 31583756 req, miss ratio 0.9801, byte miss ratio 0.9801
result/cdn2_colo28.ns172.oracleGeneral.zst LeCaR cache size   924306, 31583756 req, miss ratio 0.9794, byte miss ratio 0.9794
result/cdn2_colo28.ns172.oracleGeneral.zst LeCaR cache size  3081021, 31583756 req, miss ratio 0.9783, byte miss ratio 0.9783
result/cdn2_colo28.ns172.oracleGeneral.zst LeCaR cache size  6162043, 31583756 req, miss ratio 0.9773, byte miss ratio 0.9773
result/cdn2_colo28.ns172.oracleGeneral.zst LeCaR cache size 12324087, 31583756 req, miss ratio 0.9762, byte miss ratio 0.9762
result/cdn2_colo28.ns172.oracleGeneral.zst LeCaR cache size 24648175, 31583756 req, miss ratio 0.9756, byte miss ratio 0.9756
result/cdn2_colo28.ns172.oracleGeneral.zst LIRS cache size    30810, 31583756 req, miss ratio 0.9803, byte miss ratio 0.9803
result/cdn2_colo28.ns172.oracleGeneral.zst LIRS cache size    92430, 31583756 req, miss ratio 0.9800, byte miss ratio 0.9800
result/cdn2_colo28.ns172.oracleGeneral.zst LIRS cache size   308102, 31583756 req, miss ratio 0.9796, byte miss ratio 0.9796
result/cdn2_colo28.ns172.oracleGeneral.zst LIRS cache size   924306, 31583756 req, miss ratio 0.9791, byte miss ratio 0.9791
result/cdn2_colo28.ns172.oracleGeneral.zst LIRS cache size  3081021, 31583756 req, miss ratio 0.9781, byte miss ratio 0.9781
result/cdn2_colo28.ns172.oracleGeneral.zst LIRS cache size  6162043, 31583756 req, miss ratio 0.9773, byte miss ratio 0.9773
result/cdn2_colo28.ns172.oracleGeneral.zst LIRS cache size 12324087, 31583756 req, miss ratio 0.9764, byte miss ratio 0.9764
result/cdn2_colo28.ns172.oracleGeneral.zst LIRS cache size 24648175, 31583756 req, miss ratio 0.9756, byte miss ratio 0.9756
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d-1 cache size    30810, 31583756 req, miss ratio 0.9800, byte miss ratio 0.9800
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d-1 cache size    92430, 31583756 req, miss ratio 0.9796, byte miss ratio 0.9796
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d-1 cache size   308102, 31583756 req, miss ratio 0.9792, byte miss ratio 0.9792
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d-1 cache size   924306, 31583756 req, miss ratio 0.9787, byte miss ratio 0.9787
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d-1 cache size  3081021, 31583756 req, miss ratio 0.9777, byte miss ratio 0.9777
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d-1 cache size  6162043, 31583756 req, miss ratio 0.9769, byte miss ratio 0.9769
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d-1 cache size 12324087, 31583756 req, miss ratio 0.9761, byte miss ratio 0.9761
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d-1 cache size 24648175, 31583756 req, miss ratio 0.9755, byte miss ratio 0.9755
result/cdn2_colo28.ns172.oracleGeneral.zst LRB cache size    30810, 31583756 req, miss ratio 0.9817, byte miss ratio 0.9817
result/cdn2_colo28.ns172.oracleGeneral.zst LRB cache size    92430, 31583756 req, miss ratio 0.9808, byte miss ratio 0.9808
result/cdn2_colo28.ns172.oracleGeneral.zst LRB cache size   308102, 31583756 req, miss ratio 0.9801, byte miss ratio 0.9801
result/cdn2_colo28.ns172.oracleGeneral.zst LRB cache size   924306, 31583756 req, miss ratio 0.9794, byte miss ratio 0.9794
result/cdn2_colo28.ns172.oracleGeneral.zst LRB cache size  3081021, 31583756 req, miss ratio 0.9783, byte miss ratio 0.9783
result/cdn2_colo28.ns172.oracleGeneral.zst LRB cache size  6162043, 31583756 req, miss ratio 0.9773, byte miss ratio 0.9773
result/cdn2_colo28.ns172.oracleGeneral.zst LRB cache size 12324087, 31583756 req, miss ratio 0.9762, byte miss ratio 0.9762
result/cdn2_colo28.ns172.oracleGeneral.zst LRB cache size 24648175, 31583756 req, miss ratio 0.9756, byte miss ratio 0.9756
