result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRB cache size       68, 21059890 req, miss ratio 0.9643, byte miss ratio 0.9643
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRB cache size      204, 21059890 req, miss ratio 0.9375, byte miss ratio 0.9375
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRB cache size      680, 21059890 req, miss ratio 0.8498, byte miss ratio 0.8498
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRB cache size     2042, 21059890 req, miss ratio 0.6554, byte miss ratio 0.6554
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRB cache size     6809, 21059890 req, miss ratio 0.3072, byte miss ratio 0.3072
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRB cache size    13618, 21059890 req, miss ratio 0.1199, byte miss ratio 0.1199
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRB cache size    27237, 21059890 req, miss ratio 0.0274, byte miss ratio 0.0274
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRB cache size    54474, 21059890 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       68, 21059890 req, miss ratio 0.9580, byte miss ratio 0.9580
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      204, 21059890 req, miss ratio 0.9421, byte miss ratio 0.9421
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      680, 21059890 req, miss ratio 0.8861, byte miss ratio 0.8861
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     2042, 21059890 req, miss ratio 0.7337, byte miss ratio 0.7337
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     6809, 21059890 req, miss ratio 0.3801, byte miss ratio 0.3801
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    13618, 21059890 req, miss ratio 0.1608, byte miss ratio 0.1608
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    27237, 21059890 req, miss ratio 0.0351, byte miss ratio 0.0351
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    54474, 21059890 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn1_sjc.ns397.oracleGeneral.bin.zst TwoQ cache size       68, 21059890 req, miss ratio 0.9574, byte miss ratio 0.9574
result/cdn1_sjc.ns397.oracleGeneral.bin.zst TwoQ cache size      204, 21059890 req, miss ratio 0.9400, byte miss ratio 0.9400
