result/io_traces.ns433.oracleGeneral.zst B-LRU cache size      233, 5400000 req, miss ratio 0.3703, byte miss ratio 0.3703
result/io_traces.ns433.oracleGeneral.zst B-LRU cache size      701, 5400000 req, miss ratio 0.3317, byte miss ratio 0.3317
result/io_traces.ns433.oracleGeneral.zst B-LRU cache size     2337, 5400000 req, miss ratio 0.2732, byte miss ratio 0.2732
result/io_traces.ns433.oracleGeneral.zst B-LRU cache size     7012, 5400000 req, miss ratio 0.2283, byte miss ratio 0.2283
result/io_traces.ns433.oracleGeneral.zst B-LRU cache size    23376, 5400000 req, miss ratio 0.1524, byte miss ratio 0.1524
result/io_traces.ns433.oracleGeneral.zst B-LRU cache size    46752, 5400000 req, miss ratio 0.0871, byte miss ratio 0.0871
result/io_traces.ns433.oracleGeneral.zst B-LRU cache size    93504, 5400000 req, miss ratio 0.0731, byte miss ratio 0.0731
result/io_traces.ns433.oracleGeneral.zst B-LRU cache size   187008, 5400000 req, miss ratio 0.0725, byte miss ratio 0.0725
result/io_traces.ns433.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      233, 5400000 req, miss ratio 0.3976, byte miss ratio 0.3976
result/io_traces.ns433.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      701, 5400000 req, miss ratio 0.3243, byte miss ratio 0.3243
result/io_traces.ns433.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2337, 5400000 req, miss ratio 0.2613, byte miss ratio 0.2613
result/io_traces.ns433.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7012, 5400000 req, miss ratio 0.2133, byte miss ratio 0.2133
result/io_traces.ns433.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    23376, 5400000 req, miss ratio 0.1584, byte miss ratio 0.1584
result/io_traces.ns433.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    46752, 5400000 req, miss ratio 0.1019, byte miss ratio 0.1019
result/io_traces.ns433.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    93504, 5400000 req, miss ratio 0.0549, byte miss ratio 0.0549
result/io_traces.ns433.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   187008, 5400000 req, miss ratio 0.0468, byte miss ratio 0.0468
result/io_traces.ns433.oracleGeneral.zst TwoQ cache size      233, 5400000 req, miss ratio 0.3435, byte miss ratio 0.3435
result/io_traces.ns433.oracleGeneral.zst TwoQ cache size      701, 5400000 req, miss ratio 0.2929, byte miss ratio 0.2929
result/io_traces.ns433.oracleGeneral.zst TwoQ cache size     2337, 5400000 req, miss ratio 0.2172, byte miss ratio 0.2172
result/io_traces.ns433.oracleGeneral.zst TwoQ cache size     7012, 5400000 req, miss ratio 0.2023, byte miss ratio 0.2023
result/io_traces.ns433.oracleGeneral.zst TwoQ cache size    23376, 5400000 req, miss ratio 0.1339, byte miss ratio 0.1339
result/io_traces.ns433.oracleGeneral.zst TwoQ cache size    46752, 5400000 req, miss ratio 0.0737, byte miss ratio 0.0737
result/io_traces.ns433.oracleGeneral.zst TwoQ cache size    93504, 5400000 req, miss ratio 0.0519, byte miss ratio 0.0519
result/io_traces.ns433.oracleGeneral.zst TwoQ cache size   187008, 5400000 req, miss ratio 0.0493, byte miss ratio 0.0493
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d cache size      233, 5400000 req, miss ratio 0.3383, byte miss ratio 0.3383
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d cache size      701, 5400000 req, miss ratio 0.2916, byte miss ratio 0.2916
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d cache size     2337, 5400000 req, miss ratio 0.2167, byte miss ratio 0.2167
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d cache size     7012, 5400000 req, miss ratio 0.2005, byte miss ratio 0.2005
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d cache size    23376, 5400000 req, miss ratio 0.1399, byte miss ratio 0.1399
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d cache size    46752, 5400000 req, miss ratio 0.0689, byte miss ratio 0.0689
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d cache size    93504, 5400000 req, miss ratio 0.0479, byte miss ratio 0.0479
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d cache size   187008, 5400000 req, miss ratio 0.0440, byte miss ratio 0.0440
result/io_traces.ns433.oracleGeneral.zst S3FIFO cache size      233, 5400000 req, miss ratio 0.3480, byte miss ratio 0.3480
result/io_traces.ns433.oracleGeneral.zst S3FIFO cache size      701, 5400000 req, miss ratio 0.2922, byte miss ratio 0.2922
result/io_traces.ns433.oracleGeneral.zst S3FIFO cache size     2337, 5400000 req, miss ratio 0.2168, byte miss ratio 0.2168
result/io_traces.ns433.oracleGeneral.zst S3FIFO cache size     7012, 5400000 req, miss ratio 0.2004, byte miss ratio 0.2004
result/io_traces.ns433.oracleGeneral.zst S3FIFO cache size    23376, 5400000 req, miss ratio 0.1383, byte miss ratio 0.1383
result/io_traces.ns433.oracleGeneral.zst S3FIFO cache size    46752, 5400000 req, miss ratio 0.0672, byte miss ratio 0.0672
result/io_traces.ns433.oracleGeneral.zst S3FIFO cache size    93504, 5400000 req, miss ratio 0.0480, byte miss ratio 0.0480
result/io_traces.ns433.oracleGeneral.zst S3FIFO cache size   187008, 5400000 req, miss ratio 0.0440, byte miss ratio 0.0440
result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      233, 5400000 req, miss ratio 0.3679, byte miss ratio 0.3679
result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      701, 5400000 req, miss ratio 0.3227, byte miss ratio 0.3227
result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2337, 5400000 req, miss ratio 0.2490, byte miss ratio 0.2490
