result/io_traces.ns537.oracleGeneral.zst TwoQ cache size     4722, 2200000 req, miss ratio 0.4324, byte miss ratio 0.4324
result/io_traces.ns537.oracleGeneral.zst TwoQ cache size    15742, 2200000 req, miss ratio 0.3458, byte miss ratio 0.3458
result/io_traces.ns537.oracleGeneral.zst TwoQ cache size    31484, 2200000 req, miss ratio 0.2416, byte miss ratio 0.2416
result/io_traces.ns537.oracleGeneral.zst TwoQ cache size    62968, 2200000 req, miss ratio 0.1250, byte miss ratio 0.1250
result/io_traces.ns537.oracleGeneral.zst TwoQ cache size   125937, 2200000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns537.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      157, 2200000 req, miss ratio 0.5071, byte miss ratio 0.5071
result/io_traces.ns537.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      472, 2200000 req, miss ratio 0.4939, byte miss ratio 0.4939
result/io_traces.ns537.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1574, 2200000 req, miss ratio 0.4857, byte miss ratio 0.4857
result/io_traces.ns537.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4722, 2200000 req, miss ratio 0.4624, byte miss ratio 0.4624
result/io_traces.ns537.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15742, 2200000 req, miss ratio 0.4244, byte miss ratio 0.4244
result/io_traces.ns537.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    31484, 2200000 req, miss ratio 0.3291, byte miss ratio 0.3291
result/io_traces.ns537.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    62968, 2200000 req, miss ratio 0.1488, byte miss ratio 0.1488
result/io_traces.ns537.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   125937, 2200000 req, miss ratio 0.0806, byte miss ratio 0.0806
result/io_traces.ns537.oracleGeneral.zst S4LRU(25:25:25:25) cache size      157, 2200000 req, miss ratio 0.5003, byte miss ratio 0.5003
result/io_traces.ns537.oracleGeneral.zst S4LRU(25:25:25:25) cache size      472, 2200000 req, miss ratio 0.4920, byte miss ratio 0.4920
result/io_traces.ns537.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1574, 2200000 req, miss ratio 0.4850, byte miss ratio 0.4850
result/io_traces.ns537.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4722, 2200000 req, miss ratio 0.4783, byte miss ratio 0.4783
result/io_traces.ns537.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15742, 2200000 req, miss ratio 0.4064, byte miss ratio 0.4064
result/io_traces.ns537.oracleGeneral.zst S4LRU(25:25:25:25) cache size    31484, 2200000 req, miss ratio 0.3344, byte miss ratio 0.3344
result/io_traces.ns537.oracleGeneral.zst S4LRU(25:25:25:25) cache size    62968, 2200000 req, miss ratio 0.1218, byte miss ratio 0.1218
result/io_traces.ns537.oracleGeneral.zst S4LRU(25:25:25:25) cache size   125937, 2200000 req, miss ratio 0.0766, byte miss ratio 0.0766
result/io_traces.ns537.oracleGeneral.zst B-LRU cache size      157, 2200000 req, miss ratio 0.5431, byte miss ratio 0.5431
result/io_traces.ns537.oracleGeneral.zst B-LRU cache size      472, 2200000 req, miss ratio 0.5310, byte miss ratio 0.5310
result/io_traces.ns537.oracleGeneral.zst B-LRU cache size     1574, 2200000 req, miss ratio 0.5258, byte miss ratio 0.5258
