result/io_traces.ns232.oracleGeneral.zst LIRS cache size   162621, 18800000 req, miss ratio 0.0997, byte miss ratio 0.0997
result/io_traces.ns232.oracleGeneral.zst LIRS cache size   325242, 18800000 req, miss ratio 0.0968, byte miss ratio 0.0968
result/io_traces.ns232.oracleGeneral.zst LIRS cache size   650484, 18800000 req, miss ratio 0.0916, byte miss ratio 0.0916
result/io_traces.ns232.oracleGeneral.zst LIRS cache size  1300969, 18800000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d-1 cache size     1626, 18800000 req, miss ratio 0.1164, byte miss ratio 0.1164
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d-1 cache size     4878, 18800000 req, miss ratio 0.1151, byte miss ratio 0.1151
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d-1 cache size    16262, 18800000 req, miss ratio 0.1102, byte miss ratio 0.1102
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d-1 cache size    48786, 18800000 req, miss ratio 0.1075, byte miss ratio 0.1075
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d-1 cache size   162621, 18800000 req, miss ratio 0.0997, byte miss ratio 0.0997
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d-1 cache size   325242, 18800000 req, miss ratio 0.0963, byte miss ratio 0.0963
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d-1 cache size   650484, 18800000 req, miss ratio 0.0918, byte miss ratio 0.0918
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d-1 cache size  1300969, 18800000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns232.oracleGeneral.zst LRB cache size     1626, 18800000 req, miss ratio 0.1179, byte miss ratio 0.1179
result/io_traces.ns232.oracleGeneral.zst LRB cache size     4878, 18800000 req, miss ratio 0.1136, byte miss ratio 0.1136
result/io_traces.ns232.oracleGeneral.zst LRB cache size    16262, 18800000 req, miss ratio 0.1104, byte miss ratio 0.1104
result/io_traces.ns232.oracleGeneral.zst LRB cache size    48786, 18800000 req, miss ratio 0.1085, byte miss ratio 0.1085
