result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      122, 21784722 req, miss ratio 0.3231, byte miss ratio 0.3231
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      368, 21784722 req, miss ratio 0.2310, byte miss ratio 0.2310
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1229, 21784722 req, miss ratio 0.1323, byte miss ratio 0.1323
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     3688, 21784722 req, miss ratio 0.0734, byte miss ratio 0.0734
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    12295, 21784722 req, miss ratio 0.0353, byte miss ratio 0.0353
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    24591, 21784722 req, miss ratio 0.0211, byte miss ratio 0.0211
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    49182, 21784722 req, miss ratio 0.0115, byte miss ratio 0.0115
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    98364, 21784722 req, miss ratio 0.0068, byte miss ratio 0.0068
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst B-LRU cache size      122, 21784722 req, miss ratio 0.3315, byte miss ratio 0.3315
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst B-LRU cache size      368, 21784722 req, miss ratio 0.2303, byte miss ratio 0.2303
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst B-LRU cache size     1229, 21784722 req, miss ratio 0.1314, byte miss ratio 0.1314
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst B-LRU cache size     3688, 21784722 req, miss ratio 0.0786, byte miss ratio 0.0786
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst B-LRU cache size    12295, 21784722 req, miss ratio 0.0413, byte miss ratio 0.0413
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst B-LRU cache size    24591, 21784722 req, miss ratio 0.0269, byte miss ratio 0.0269
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst B-LRU cache size    49182, 21784722 req, miss ratio 0.0166, byte miss ratio 0.0166
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst B-LRU cache size    98364, 21784722 req, miss ratio 0.0116, byte miss ratio 0.0116
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size      122, 21784722 req, miss ratio 0.2787, byte miss ratio 0.2787
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size      368, 21784722 req, miss ratio 0.1910, byte miss ratio 0.1910
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     1229, 21784722 req, miss ratio 0.1158, byte miss ratio 0.1158
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     3688, 21784722 req, miss ratio 0.0643, byte miss ratio 0.0643
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    12295, 21784722 req, miss ratio 0.0319, byte miss ratio 0.0319
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    24591, 21784722 req, miss ratio 0.0193, byte miss ratio 0.0193
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    49182, 21784722 req, miss ratio 0.0101, byte miss ratio 0.0101
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    98364, 21784722 req, miss ratio 0.0059, byte miss ratio 0.0059
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO cache size      122, 21784722 req, miss ratio 0.2788, byte miss ratio 0.2788
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO cache size      368, 21784722 req, miss ratio 0.1910, byte miss ratio 0.1910
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     1229, 21784722 req, miss ratio 0.1136, byte miss ratio 0.1136
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     3688, 21784722 req, miss ratio 0.0643, byte miss ratio 0.0643
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    12295, 21784722 req, miss ratio 0.0319, byte miss ratio 0.0319
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    24591, 21784722 req, miss ratio 0.0193, byte miss ratio 0.0193
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    49182, 21784722 req, miss ratio 0.0101, byte miss ratio 0.0101
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    98364, 21784722 req, miss ratio 0.0059, byte miss ratio 0.0059
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      122, 21784722 req, miss ratio 0.3510, byte miss ratio 0.3510
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      368, 21784722 req, miss ratio 0.1903, byte miss ratio 0.1903
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1229, 21784722 req, miss ratio 0.1092, byte miss ratio 0.1092
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     3688, 21784722 req, miss ratio 0.0648, byte miss ratio 0.0648
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    12295, 21784722 req, miss ratio 0.0317, byte miss ratio 0.0317
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    24591, 21784722 req, miss ratio 0.0189, byte miss ratio 0.0189
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    49182, 21784722 req, miss ratio 0.0102, byte miss ratio 0.0102
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    98364, 21784722 req, miss ratio 0.0061, byte miss ratio 0.0061
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      122, 21784722 req, miss ratio 0.2678, byte miss ratio 0.2678
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      368, 21784722 req, miss ratio 0.1792, byte miss ratio 0.1792
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1229, 21784722 req, miss ratio 0.1083, byte miss ratio 0.1083
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     3688, 21784722 req, miss ratio 0.0628, byte miss ratio 0.0628
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    12295, 21784722 req, miss ratio 0.0306, byte miss ratio 0.0306
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    24591, 21784722 req, miss ratio 0.0187, byte miss ratio 0.0187
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    49182, 21784722 req, miss ratio 0.0103, byte miss ratio 0.0103
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    98364, 21784722 req, miss ratio 0.0062, byte miss ratio 0.0062
