result/cdn1_sjc.ns349.oracleGeneral.bin.zst TwoQ cache size       48, 5749960 req, miss ratio 0.5969, byte miss ratio 0.5969
result/cdn1_sjc.ns349.oracleGeneral.bin.zst TwoQ cache size      160, 5749960 req, miss ratio 0.5043, byte miss ratio 0.5043
result/cdn1_sjc.ns349.oracleGeneral.bin.zst TwoQ cache size      481, 5749960 req, miss ratio 0.4317, byte miss ratio 0.4317
result/cdn1_sjc.ns349.oracleGeneral.bin.zst TwoQ cache size     1605, 5749960 req, miss ratio 0.3404, byte miss ratio 0.3404
result/cdn1_sjc.ns349.oracleGeneral.bin.zst TwoQ cache size     3210, 5749960 req, miss ratio 0.2544, byte miss ratio 0.2544
result/cdn1_sjc.ns349.oracleGeneral.bin.zst TwoQ cache size     6420, 5749960 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn1_sjc.ns349.oracleGeneral.bin.zst TwoQ cache size    12840, 5749960 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       16, 5749960 req, miss ratio 0.6652, byte miss ratio 0.6652
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       48, 5749960 req, miss ratio 0.5686, byte miss ratio 0.5686
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      160, 5749960 req, miss ratio 0.5019, byte miss ratio 0.5019
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      481, 5749960 req, miss ratio 0.4383, byte miss ratio 0.4383
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1605, 5749960 req, miss ratio 0.3501, byte miss ratio 0.3501
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     3210, 5749960 req, miss ratio 0.2592, byte miss ratio 0.2592
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     6420, 5749960 req, miss ratio 0.1143, byte miss ratio 0.1143
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    12840, 5749960 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn1_sjc.ns349.oracleGeneral.bin.zst B-LRU cache size       16, 5749960 req, miss ratio 0.6515, byte miss ratio 0.6515
result/cdn1_sjc.ns349.oracleGeneral.bin.zst B-LRU cache size       48, 5749960 req, miss ratio 0.5577, byte miss ratio 0.5577
result/cdn1_sjc.ns349.oracleGeneral.bin.zst B-LRU cache size      160, 5749960 req, miss ratio 0.4891, byte miss ratio 0.4891
result/cdn1_sjc.ns349.oracleGeneral.bin.zst B-LRU cache size      481, 5749960 req, miss ratio 0.4372, byte miss ratio 0.4372
result/cdn1_sjc.ns349.oracleGeneral.bin.zst B-LRU cache size     1605, 5749960 req, miss ratio 0.3546, byte miss ratio 0.3546
result/cdn1_sjc.ns349.oracleGeneral.bin.zst B-LRU cache size     3210, 5749960 req, miss ratio 0.2674, byte miss ratio 0.2674
result/cdn1_sjc.ns349.oracleGeneral.bin.zst B-LRU cache size     6420, 5749960 req, miss ratio 0.1198, byte miss ratio 0.1198
