result/w90.oracleGeneral.bin.zst clock2 cache size      590, 4493515 req, miss ratio 0.8331, byte miss ratio 0.8331
result/w90.oracleGeneral.bin.zst clock2 cache size     1770, 4493515 req, miss ratio 0.8141, byte miss ratio 0.8141
result/w90.oracleGeneral.bin.zst clock2 cache size     5900, 4493515 req, miss ratio 0.7796, byte miss ratio 0.7796
result/w90.oracleGeneral.bin.zst clock2 cache size    17700, 4493515 req, miss ratio 0.7518, byte miss ratio 0.7518
result/w90.oracleGeneral.bin.zst clock2 cache size    59003, 4493515 req, miss ratio 0.4696, byte miss ratio 0.4696
result/w90.oracleGeneral.bin.zst clock2 cache size   118006, 4493515 req, miss ratio 0.2602, byte miss ratio 0.2602
result/w90.oracleGeneral.bin.zst clock2 cache size   236012, 4493515 req, miss ratio 0.1668, byte miss ratio 0.1668
result/w90.oracleGeneral.bin.zst clock2 cache size   472024, 4493515 req, miss ratio 0.1338, byte miss ratio 0.1338
result/w90.oracleGeneral.bin.zst LHD cache size      590, 4493515 req, miss ratio 0.8318, byte miss ratio 0.8318
result/w90.oracleGeneral.bin.zst LHD cache size     1770, 4493515 req, miss ratio 0.8120, byte miss ratio 0.8120
result/w90.oracleGeneral.bin.zst LHD cache size     5900, 4493515 req, miss ratio 0.7780, byte miss ratio 0.7780
result/w90.oracleGeneral.bin.zst LHD cache size    17700, 4493515 req, miss ratio 0.6334, byte miss ratio 0.6334
result/w90.oracleGeneral.bin.zst LHD cache size    59003, 4493515 req, miss ratio 0.3923, byte miss ratio 0.3923
result/w90.oracleGeneral.bin.zst LHD cache size   118006, 4493515 req, miss ratio 0.2818, byte miss ratio 0.2818
result/w90.oracleGeneral.bin.zst LHD cache size   236012, 4493515 req, miss ratio 0.1883, byte miss ratio 0.1883
result/w90.oracleGeneral.bin.zst LHD cache size   472024, 4493515 req, miss ratio 0.1436, byte miss ratio 0.1436
result/w90.oracleGeneral.bin.zst LRU cache size      590, 4493515 req, miss ratio 0.8356, byte miss ratio 0.8356
result/w90.oracleGeneral.bin.zst LRU cache size     1770, 4493515 req, miss ratio 0.8177, byte miss ratio 0.8177
result/w90.oracleGeneral.bin.zst LRU cache size     5900, 4493515 req, miss ratio 0.7806, byte miss ratio 0.7806
result/w90.oracleGeneral.bin.zst LRU cache size    17700, 4493515 req, miss ratio 0.7571, byte miss ratio 0.7571
result/w90.oracleGeneral.bin.zst LRU cache size    59003, 4493515 req, miss ratio 0.4136, byte miss ratio 0.4136
result/w90.oracleGeneral.bin.zst LRU cache size   118006, 4493515 req, miss ratio 0.2627, byte miss ratio 0.2627
result/w90.oracleGeneral.bin.zst LRU cache size   236012, 4493515 req, miss ratio 0.1795, byte miss ratio 0.1795
result/w90.oracleGeneral.bin.zst LRU cache size   472024, 4493515 req, miss ratio 0.1351, byte miss ratio 0.1351
result/w90.oracleGeneral.bin.zst ARC cache size      590, 4493515 req, miss ratio 0.8203, byte miss ratio 0.8203
result/w90.oracleGeneral.bin.zst ARC cache size     1770, 4493515 req, miss ratio 0.8020, byte miss ratio 0.8020
result/w90.oracleGeneral.bin.zst ARC cache size     5900, 4493515 req, miss ratio 0.7729, byte miss ratio 0.7729
result/w90.oracleGeneral.bin.zst ARC cache size    17700, 4493515 req, miss ratio 0.7314, byte miss ratio 0.7314
result/w90.oracleGeneral.bin.zst ARC cache size    59003, 4493515 req, miss ratio 0.3506, byte miss ratio 0.3506
result/w90.oracleGeneral.bin.zst ARC cache size   118006, 4493515 req, miss ratio 0.2626, byte miss ratio 0.2626
result/w90.oracleGeneral.bin.zst ARC cache size   236012, 4493515 req, miss ratio 0.1744, byte miss ratio 0.1744
result/w90.oracleGeneral.bin.zst ARC cache size   472024, 4493515 req, miss ratio 0.1338, byte miss ratio 0.1338
result/w90.oracleGeneral.bin.zst Cacheus cache size      590, 4493515 req, miss ratio 0.8205, byte miss ratio 0.8205
result/w90.oracleGeneral.bin.zst Cacheus cache size     1770, 4493515 req, miss ratio 0.8037, byte miss ratio 0.8037
result/w90.oracleGeneral.bin.zst Cacheus cache size     5900, 4493515 req, miss ratio 0.7768, byte miss ratio 0.7768
result/w90.oracleGeneral.bin.zst Cacheus cache size    17700, 4493515 req, miss ratio 0.6059, byte miss ratio 0.6059
result/w90.oracleGeneral.bin.zst Cacheus cache size    59003, 4493515 req, miss ratio 0.3736, byte miss ratio 0.3736
result/w90.oracleGeneral.bin.zst Cacheus cache size   118006, 4493515 req, miss ratio 0.2488, byte miss ratio 0.2488
result/w90.oracleGeneral.bin.zst Cacheus cache size   236012, 4493515 req, miss ratio 0.1767, byte miss ratio 0.1767
result/w90.oracleGeneral.bin.zst Cacheus cache size   472024, 4493515 req, miss ratio 0.1343, byte miss ratio 0.1343
result/w90.oracleGeneral.bin.zst S3FIFO-d-1 cache size      590, 4493515 req, miss ratio 0.8207, byte miss ratio 0.8207
result/w90.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1770, 4493515 req, miss ratio 0.8017, byte miss ratio 0.8017
result/w90.oracleGeneral.bin.zst S3FIFO-d-1 cache size     5900, 4493515 req, miss ratio 0.7753, byte miss ratio 0.7753
result/w90.oracleGeneral.bin.zst S3FIFO-d-1 cache size    17700, 4493515 req, miss ratio 0.7239, byte miss ratio 0.7239
result/w90.oracleGeneral.bin.zst S3FIFO-d-1 cache size    59003, 4493515 req, miss ratio 0.3173, byte miss ratio 0.3173
result/w90.oracleGeneral.bin.zst S3FIFO-d-1 cache size   118006, 4493515 req, miss ratio 0.2445, byte miss ratio 0.2445
result/w90.oracleGeneral.bin.zst S3FIFO-d-1 cache size   236012, 4493515 req, miss ratio 0.1700, byte miss ratio 0.1700
