result/w74.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      890, 6343762 req, miss ratio 0.2456, byte miss ratio 0.2456
result/w74.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     2967, 6343762 req, miss ratio 0.2205, byte miss ratio 0.2205
result/w74.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     8903, 6343762 req, miss ratio 0.1986, byte miss ratio 0.1986
result/w74.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    29676, 6343762 req, miss ratio 0.1629, byte miss ratio 0.1629
result/w74.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    59353, 6343762 req, miss ratio 0.1237, byte miss ratio 0.1237
result/w74.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   118707, 6343762 req, miss ratio 0.0726, byte miss ratio 0.0726
result/w74.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   237414, 6343762 req, miss ratio 0.0522, byte miss ratio 0.0522
result/w74.oracleGeneral.bin.zst TwoQ cache size      296, 6343762 req, miss ratio 0.2481, byte miss ratio 0.2481
result/w74.oracleGeneral.bin.zst TwoQ cache size      890, 6343762 req, miss ratio 0.2199, byte miss ratio 0.2199
result/w74.oracleGeneral.bin.zst TwoQ cache size     2967, 6343762 req, miss ratio 0.1977, byte miss ratio 0.1977
result/w74.oracleGeneral.bin.zst TwoQ cache size     8903, 6343762 req, miss ratio 0.1820, byte miss ratio 0.1820
result/w74.oracleGeneral.bin.zst TwoQ cache size    29676, 6343762 req, miss ratio 0.1350, byte miss ratio 0.1350
result/w74.oracleGeneral.bin.zst TwoQ cache size    59353, 6343762 req, miss ratio 0.0958, byte miss ratio 0.0958
result/w74.oracleGeneral.bin.zst TwoQ cache size   118707, 6343762 req, miss ratio 0.0684, byte miss ratio 0.0684
result/w74.oracleGeneral.bin.zst TwoQ cache size   237414, 6343762 req, miss ratio 0.0542, byte miss ratio 0.0542
result/w74.oracleGeneral.bin.zst B-LRU cache size      296, 6343762 req, miss ratio 0.3088, byte miss ratio 0.3088
result/w74.oracleGeneral.bin.zst B-LRU cache size      890, 6343762 req, miss ratio 0.2490, byte miss ratio 0.2490
result/w74.oracleGeneral.bin.zst B-LRU cache size     2967, 6343762 req, miss ratio 0.2296, byte miss ratio 0.2296
result/w74.oracleGeneral.bin.zst B-LRU cache size     8903, 6343762 req, miss ratio 0.2055, byte miss ratio 0.2055
result/w74.oracleGeneral.bin.zst B-LRU cache size    29676, 6343762 req, miss ratio 0.1751, byte miss ratio 0.1751
result/w74.oracleGeneral.bin.zst B-LRU cache size    59353, 6343762 req, miss ratio 0.1162, byte miss ratio 0.1162
result/w74.oracleGeneral.bin.zst B-LRU cache size   118707, 6343762 req, miss ratio 0.0823, byte miss ratio 0.0823
result/w74.oracleGeneral.bin.zst B-LRU cache size   237414, 6343762 req, miss ratio 0.0776, byte miss ratio 0.0776
result/w74.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      296, 6343762 req, miss ratio 0.2979, byte miss ratio 0.2979
result/w74.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      890, 6343762 req, miss ratio 0.2302, byte miss ratio 0.2302
result/w74.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     2967, 6343762 req, miss ratio 0.2117, byte miss ratio 0.2117
result/w74.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     8903, 6343762 req, miss ratio 0.1924, byte miss ratio 0.1924
