result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO cache size    71138, 5585886 req, miss ratio 0.2140, byte miss ratio 0.2140
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO cache size   142277, 5585886 req, miss ratio 0.1762, byte miss ratio 0.1762
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO cache size   284554, 5585886 req, miss ratio 0.1362, byte miss ratio 0.1362
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO cache size   569108, 5585886 req, miss ratio 0.1289, byte miss ratio 0.1289
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size      711, 5585886 req, miss ratio 0.3764, byte miss ratio 0.3764
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size     2134, 5585886 req, miss ratio 0.3426, byte miss ratio 0.3426
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size     7113, 5585886 req, miss ratio 0.3154, byte miss ratio 0.3154
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size    21341, 5585886 req, miss ratio 0.2844, byte miss ratio 0.2844
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size    71138, 5585886 req, miss ratio 0.2134, byte miss ratio 0.2134
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size   142277, 5585886 req, miss ratio 0.1767, byte miss ratio 0.1767
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size   284554, 5585886 req, miss ratio 0.1360, byte miss ratio 0.1360
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size   569108, 5585886 req, miss ratio 0.1289, byte miss ratio 0.1289
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      711, 5585886 req, miss ratio 0.4013, byte miss ratio 0.4013
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2134, 5585886 req, miss ratio 0.3504, byte miss ratio 0.3504
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7113, 5585886 req, miss ratio 0.3103, byte miss ratio 0.3103
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    21341, 5585886 req, miss ratio 0.2739, byte miss ratio 0.2739
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    71138, 5585886 req, miss ratio 0.2197, byte miss ratio 0.2197
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   142277, 5585886 req, miss ratio 0.1800, byte miss ratio 0.1800
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   284554, 5585886 req, miss ratio 0.1557, byte miss ratio 0.1557
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   569108, 5585886 req, miss ratio 0.1335, byte miss ratio 0.1335
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      711, 5585886 req, miss ratio 0.3751, byte miss ratio 0.3751
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2134, 5585886 req, miss ratio 0.3380, byte miss ratio 0.3380
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7113, 5585886 req, miss ratio 0.3043, byte miss ratio 0.3043
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    21341, 5585886 req, miss ratio 0.2708, byte miss ratio 0.2708
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    71138, 5585886 req, miss ratio 0.2208, byte miss ratio 0.2208
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   142277, 5585886 req, miss ratio 0.1794, byte miss ratio 0.1794
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   284554, 5585886 req, miss ratio 0.1578, byte miss ratio 0.1578
result/prn_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   569108, 5585886 req, miss ratio 0.1325, byte miss ratio 0.1325
