result/tencentBlock.ns20699.oracleGeneral.zst TwoQ cache size     3418, 26074680 req, miss ratio 0.5031, byte miss ratio 0.5031
result/tencentBlock.ns20699.oracleGeneral.zst TwoQ cache size    10256, 26074680 req, miss ratio 0.4397, byte miss ratio 0.4397
result/tencentBlock.ns20699.oracleGeneral.zst TwoQ cache size    34189, 26074680 req, miss ratio 0.3770, byte miss ratio 0.3770
result/tencentBlock.ns20699.oracleGeneral.zst TwoQ cache size   102567, 26074680 req, miss ratio 0.3143, byte miss ratio 0.3143
result/tencentBlock.ns20699.oracleGeneral.zst TwoQ cache size   341892, 26074680 req, miss ratio 0.2834, byte miss ratio 0.2834
result/tencentBlock.ns20699.oracleGeneral.zst TwoQ cache size   683784, 26074680 req, miss ratio 0.2400, byte miss ratio 0.2400
result/tencentBlock.ns20699.oracleGeneral.zst TwoQ cache size  1367569, 26074680 req, miss ratio 0.1905, byte miss ratio 0.1905
result/tencentBlock.ns20699.oracleGeneral.zst TwoQ cache size  2735138, 26074680 req, miss ratio 0.1422, byte miss ratio 0.1422
result/tencentBlock.ns20699.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3418, 26074680 req, miss ratio 0.5219, byte miss ratio 0.5219
result/tencentBlock.ns20699.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10256, 26074680 req, miss ratio 0.4341, byte miss ratio 0.4341
result/tencentBlock.ns20699.oracleGeneral.zst S4LRU(25:25:25:25) cache size    34189, 26074680 req, miss ratio 0.3631, byte miss ratio 0.3631
result/tencentBlock.ns20699.oracleGeneral.zst S4LRU(25:25:25:25) cache size   102567, 26074680 req, miss ratio 0.3303, byte miss ratio 0.3303
result/tencentBlock.ns20699.oracleGeneral.zst S4LRU(25:25:25:25) cache size   341892, 26074680 req, miss ratio 0.2966, byte miss ratio 0.2966
result/tencentBlock.ns20699.oracleGeneral.zst S4LRU(25:25:25:25) cache size   683784, 26074680 req, miss ratio 0.2537, byte miss ratio 0.2537
result/tencentBlock.ns20699.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1367569, 26074680 req, miss ratio 0.1887, byte miss ratio 0.1887
result/tencentBlock.ns20699.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2735138, 26074680 req, miss ratio 0.1351, byte miss ratio 0.1351
result/tencentBlock.ns20699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3418, 26074680 req, miss ratio 0.5473, byte miss ratio 0.5473
result/tencentBlock.ns20699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10256, 26074680 req, miss ratio 0.4416, byte miss ratio 0.4416
result/tencentBlock.ns20699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    34189, 26074680 req, miss ratio 0.3729, byte miss ratio 0.3729
result/tencentBlock.ns20699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   102567, 26074680 req, miss ratio 0.3377, byte miss ratio 0.3377
result/tencentBlock.ns20699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   341892, 26074680 req, miss ratio 0.3020, byte miss ratio 0.3020
result/tencentBlock.ns20699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   683784, 26074680 req, miss ratio 0.2643, byte miss ratio 0.2643
result/tencentBlock.ns20699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1367569, 26074680 req, miss ratio 0.1989, byte miss ratio 0.1989
result/tencentBlock.ns20699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2735138, 26074680 req, miss ratio 0.1405, byte miss ratio 0.1405
result/tencentBlock.ns20699.oracleGeneral.zst B-LRU cache size     3418, 26074680 req, miss ratio 0.5338, byte miss ratio 0.5338
result/tencentBlock.ns20699.oracleGeneral.zst B-LRU cache size    10256, 26074680 req, miss ratio 0.4318, byte miss ratio 0.4318
result/tencentBlock.ns20699.oracleGeneral.zst B-LRU cache size    34189, 26074680 req, miss ratio 0.3978, byte miss ratio 0.3978
result/tencentBlock.ns20699.oracleGeneral.zst B-LRU cache size   102567, 26074680 req, miss ratio 0.3785, byte miss ratio 0.3785
result/tencentBlock.ns20699.oracleGeneral.zst B-LRU cache size   341892, 26074680 req, miss ratio 0.3527, byte miss ratio 0.3527
result/tencentBlock.ns20699.oracleGeneral.zst B-LRU cache size   683784, 26074680 req, miss ratio 0.3000, byte miss ratio 0.3000
