result/tencentBlock.ns15458.oracleGeneral.zst LIRS cache size    60987, 3994636 req, miss ratio 0.1421, byte miss ratio 0.1421
result/tencentBlock.ns15458.oracleGeneral.zst LIRS cache size   121974, 3994636 req, miss ratio 0.0928, byte miss ratio 0.0928
result/tencentBlock.ns15458.oracleGeneral.zst LIRS cache size   243949, 3994636 req, miss ratio 0.0765, byte miss ratio 0.0765
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d-1 cache size      304, 3994636 req, miss ratio 0.2577, byte miss ratio 0.2577
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d-1 cache size      914, 3994636 req, miss ratio 0.2438, byte miss ratio 0.2438
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d-1 cache size     3049, 3994636 req, miss ratio 0.2234, byte miss ratio 0.2234
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d-1 cache size     9148, 3994636 req, miss ratio 0.2107, byte miss ratio 0.2107
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d-1 cache size    30493, 3994636 req, miss ratio 0.1727, byte miss ratio 0.1727
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d-1 cache size    60987, 3994636 req, miss ratio 0.1471, byte miss ratio 0.1471
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d-1 cache size   121974, 3994636 req, miss ratio 0.1000, byte miss ratio 0.1000
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d-1 cache size   243949, 3994636 req, miss ratio 0.0798, byte miss ratio 0.0798
result/tencentBlock.ns15458.oracleGeneral.zst LRB cache size      304, 3994636 req, miss ratio 0.3136, byte miss ratio 0.3136
result/tencentBlock.ns15458.oracleGeneral.zst LRB cache size      914, 3994636 req, miss ratio 0.2457, byte miss ratio 0.2457
result/tencentBlock.ns15458.oracleGeneral.zst LRB cache size     3049, 3994636 req, miss ratio 0.2198, byte miss ratio 0.2198
result/tencentBlock.ns15458.oracleGeneral.zst LRB cache size     9148, 3994636 req, miss ratio 0.1949, byte miss ratio 0.1949
result/tencentBlock.ns15458.oracleGeneral.zst LRB cache size    30493, 3994636 req, miss ratio 0.1542, byte miss ratio 0.1542
result/tencentBlock.ns15458.oracleGeneral.zst LRB cache size    60987, 3994636 req, miss ratio 0.1216, byte miss ratio 0.1216
result/tencentBlock.ns15458.oracleGeneral.zst LRB cache size   121974, 3994636 req, miss ratio 0.0888, byte miss ratio 0.0888
result/tencentBlock.ns15458.oracleGeneral.zst LRB cache size   243949, 3994636 req, miss ratio 0.0765, byte miss ratio 0.0765
result/tencentBlock.ns15458.oracleGeneral.zst S4LRU(25:25:25:25) cache size      304, 3994636 req, miss ratio 0.2816, byte miss ratio 0.2816
