result/tencentBlock.ns10534.oracleGeneral.zst LRB cache size    70366, 2140737 req, miss ratio 0.0421, byte miss ratio 0.0421
result/tencentBlock.ns10534.oracleGeneral.zst B-LRU cache size       87, 2140737 req, miss ratio 0.3762, byte miss ratio 0.3762
result/tencentBlock.ns10534.oracleGeneral.zst B-LRU cache size      263, 2140737 req, miss ratio 0.2798, byte miss ratio 0.2798
result/tencentBlock.ns10534.oracleGeneral.zst B-LRU cache size      879, 2140737 req, miss ratio 0.1871, byte miss ratio 0.1871
result/tencentBlock.ns10534.oracleGeneral.zst B-LRU cache size     2638, 2140737 req, miss ratio 0.1573, byte miss ratio 0.1573
result/tencentBlock.ns10534.oracleGeneral.zst B-LRU cache size     8795, 2140737 req, miss ratio 0.1164, byte miss ratio 0.1164
result/tencentBlock.ns10534.oracleGeneral.zst B-LRU cache size    17591, 2140737 req, miss ratio 0.1040, byte miss ratio 0.1040
result/tencentBlock.ns10534.oracleGeneral.zst B-LRU cache size    35183, 2140737 req, miss ratio 0.0839, byte miss ratio 0.0839
result/tencentBlock.ns10534.oracleGeneral.zst B-LRU cache size    70366, 2140737 req, miss ratio 0.0761, byte miss ratio 0.0761
result/tencentBlock.ns10534.oracleGeneral.zst TwoQ cache size       87, 2140737 req, miss ratio 0.3057, byte miss ratio 0.3057
result/tencentBlock.ns10534.oracleGeneral.zst TwoQ cache size      263, 2140737 req, miss ratio 0.2283, byte miss ratio 0.2283
result/tencentBlock.ns10534.oracleGeneral.zst TwoQ cache size      879, 2140737 req, miss ratio 0.1631, byte miss ratio 0.1631
result/tencentBlock.ns10534.oracleGeneral.zst TwoQ cache size     2638, 2140737 req, miss ratio 0.1176, byte miss ratio 0.1176
result/tencentBlock.ns10534.oracleGeneral.zst TwoQ cache size     8795, 2140737 req, miss ratio 0.0963, byte miss ratio 0.0963
result/tencentBlock.ns10534.oracleGeneral.zst TwoQ cache size    17591, 2140737 req, miss ratio 0.0808, byte miss ratio 0.0808
result/tencentBlock.ns10534.oracleGeneral.zst TwoQ cache size    35183, 2140737 req, miss ratio 0.0587, byte miss ratio 0.0587
result/tencentBlock.ns10534.oracleGeneral.zst TwoQ cache size    70366, 2140737 req, miss ratio 0.0458, byte miss ratio 0.0458
