result/tencentBlock.ns23638.oracleGeneral.zst FIFO cache size       77, 10575768 req, miss ratio 0.7165, byte miss ratio 0.7165
result/tencentBlock.ns23638.oracleGeneral.zst clock2 cache size     7727, 10575768 req, miss ratio 0.0219, byte miss ratio 0.0219
result/tencentBlock.ns23638.oracleGeneral.zst clock2 cache size    15455, 10575768 req, miss ratio 0.0185, byte miss ratio 0.0185
result/tencentBlock.ns23638.oracleGeneral.zst clock2 cache size    30910, 10575768 req, miss ratio 0.0139, byte miss ratio 0.0139
result/tencentBlock.ns23638.oracleGeneral.zst clock2 cache size    61821, 10575768 req, miss ratio 0.0081, byte miss ratio 0.0081
result/tencentBlock.ns23638.oracleGeneral.zst LRU cache size       77, 10575768 req, miss ratio 0.7154, byte miss ratio 0.7154
result/tencentBlock.ns23638.oracleGeneral.zst LRU cache size      231, 10575768 req, miss ratio 0.0239, byte miss ratio 0.0239
result/tencentBlock.ns23638.oracleGeneral.zst LRU cache size      772, 10575768 req, miss ratio 0.0223, byte miss ratio 0.0223
result/tencentBlock.ns23638.oracleGeneral.zst LRU cache size     2318, 10575768 req, miss ratio 0.0221, byte miss ratio 0.0221
result/tencentBlock.ns23638.oracleGeneral.zst LRU cache size     7727, 10575768 req, miss ratio 0.0219, byte miss ratio 0.0219
result/tencentBlock.ns23638.oracleGeneral.zst LRU cache size    15455, 10575768 req, miss ratio 0.0182, byte miss ratio 0.0182
result/tencentBlock.ns23638.oracleGeneral.zst LRU cache size    30910, 10575768 req, miss ratio 0.0130, byte miss ratio 0.0130
result/tencentBlock.ns23638.oracleGeneral.zst LRU cache size    61821, 10575768 req, miss ratio 0.0095, byte miss ratio 0.0095
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-1 cache size       77, 10575768 req, miss ratio 0.3387, byte miss ratio 0.3387
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-1 cache size      231, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-1 cache size      772, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-1 cache size     2318, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-1 cache size     7727, 10575768 req, miss ratio 0.0214, byte miss ratio 0.0214
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-1 cache size    15455, 10575768 req, miss ratio 0.0215, byte miss ratio 0.0215
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-1 cache size    30910, 10575768 req, miss ratio 0.0168, byte miss ratio 0.0168
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-1 cache size    61821, 10575768 req, miss ratio 0.0082, byte miss ratio 0.0082
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d-1 cache size       77, 10575768 req, miss ratio 0.3388, byte miss ratio 0.3388
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d-1 cache size      231, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d-1 cache size      772, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d-1 cache size     2318, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d-1 cache size     7727, 10575768 req, miss ratio 0.0214, byte miss ratio 0.0214
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d-1 cache size    15455, 10575768 req, miss ratio 0.0215, byte miss ratio 0.0215
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d-1 cache size    30910, 10575768 req, miss ratio 0.0163, byte miss ratio 0.0163
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d-1 cache size    61821, 10575768 req, miss ratio 0.0082, byte miss ratio 0.0082
result/tencentBlock.ns23638.oracleGeneral.zst LRB cache size       77, 10575768 req, miss ratio 0.2539, byte miss ratio 0.2539
result/tencentBlock.ns23638.oracleGeneral.zst LRB cache size      231, 10575768 req, miss ratio 0.0221, byte miss ratio 0.0221
result/tencentBlock.ns23638.oracleGeneral.zst LRB cache size      772, 10575768 req, miss ratio 0.0215, byte miss ratio 0.0215
result/tencentBlock.ns23638.oracleGeneral.zst LRB cache size     2318, 10575768 req, miss ratio 0.0202, byte miss ratio 0.0202
result/tencentBlock.ns23638.oracleGeneral.zst LRB cache size     7727, 10575768 req, miss ratio 0.0185, byte miss ratio 0.0185
result/tencentBlock.ns23638.oracleGeneral.zst LRB cache size    15455, 10575768 req, miss ratio 0.0159, byte miss ratio 0.0159
result/tencentBlock.ns23638.oracleGeneral.zst LRB cache size    30910, 10575768 req, miss ratio 0.0119, byte miss ratio 0.0119
result/tencentBlock.ns23638.oracleGeneral.zst LRB cache size    61821, 10575768 req, miss ratio 0.0084, byte miss ratio 0.0084
result/tencentBlock.ns23638.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       77, 10575768 req, miss ratio 0.7165, byte miss ratio 0.7165
result/tencentBlock.ns23638.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      231, 10575768 req, miss ratio 0.0299, byte miss ratio 0.0299
result/tencentBlock.ns23638.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      772, 10575768 req, miss ratio 0.0230, byte miss ratio 0.0230
result/tencentBlock.ns23638.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2318, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7727, 10575768 req, miss ratio 0.0206, byte miss ratio 0.0206
result/tencentBlock.ns23638.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15455, 10575768 req, miss ratio 0.0184, byte miss ratio 0.0184
result/tencentBlock.ns23638.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    30910, 10575768 req, miss ratio 0.0123, byte miss ratio 0.0123
result/tencentBlock.ns23638.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    61821, 10575768 req, miss ratio 0.0093, byte miss ratio 0.0093
result/tencentBlock.ns23638.oracleGeneral.zst B-LRU cache size       77, 10575768 req, miss ratio 0.7138, byte miss ratio 0.7138
result/tencentBlock.ns23638.oracleGeneral.zst B-LRU cache size      231, 10575768 req, miss ratio 0.0233, byte miss ratio 0.0233
result/tencentBlock.ns23638.oracleGeneral.zst B-LRU cache size      772, 10575768 req, miss ratio 0.0222, byte miss ratio 0.0222
result/tencentBlock.ns23638.oracleGeneral.zst B-LRU cache size     2318, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst B-LRU cache size     7727, 10575768 req, miss ratio 0.0209, byte miss ratio 0.0209
result/tencentBlock.ns23638.oracleGeneral.zst B-LRU cache size    15455, 10575768 req, miss ratio 0.0178, byte miss ratio 0.0178
result/tencentBlock.ns23638.oracleGeneral.zst B-LRU cache size    30910, 10575768 req, miss ratio 0.0175, byte miss ratio 0.0175
result/tencentBlock.ns23638.oracleGeneral.zst B-LRU cache size    61821, 10575768 req, miss ratio 0.0134, byte miss ratio 0.0134
result/tencentBlock.ns23638.oracleGeneral.zst TwoQ cache size       77, 10575768 req, miss ratio 0.3553, byte miss ratio 0.3553
result/tencentBlock.ns23638.oracleGeneral.zst TwoQ cache size      231, 10575768 req, miss ratio 0.0221, byte miss ratio 0.0221
result/tencentBlock.ns23638.oracleGeneral.zst TwoQ cache size      772, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst TwoQ cache size     2318, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst TwoQ cache size     7727, 10575768 req, miss ratio 0.0203, byte miss ratio 0.0203
result/tencentBlock.ns23638.oracleGeneral.zst TwoQ cache size    15455, 10575768 req, miss ratio 0.0211, byte miss ratio 0.0211
result/tencentBlock.ns23638.oracleGeneral.zst TwoQ cache size    30910, 10575768 req, miss ratio 0.0117, byte miss ratio 0.0117
result/tencentBlock.ns23638.oracleGeneral.zst TwoQ cache size    61821, 10575768 req, miss ratio 0.0103, byte miss ratio 0.0103
result/tencentBlock.ns23638.oracleGeneral.zst S4LRU(25:25:25:25) cache size       77, 10575768 req, miss ratio 0.2998, byte miss ratio 0.2998
result/tencentBlock.ns23638.oracleGeneral.zst S4LRU(25:25:25:25) cache size      231, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst S4LRU(25:25:25:25) cache size      772, 10575768 req, miss ratio 0.0219, byte miss ratio 0.0219
result/tencentBlock.ns23638.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2318, 10575768 req, miss ratio 0.0215, byte miss ratio 0.0215
result/tencentBlock.ns23638.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7727, 10575768 req, miss ratio 0.0202, byte miss ratio 0.0202
result/tencentBlock.ns23638.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15455, 10575768 req, miss ratio 0.0186, byte miss ratio 0.0186
result/tencentBlock.ns23638.oracleGeneral.zst S4LRU(25:25:25:25) cache size    30910, 10575768 req, miss ratio 0.0149, byte miss ratio 0.0149
result/tencentBlock.ns23638.oracleGeneral.zst S4LRU(25:25:25:25) cache size    61821, 10575768 req, miss ratio 0.0091, byte miss ratio 0.0091
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d cache size       77, 10575768 req, miss ratio 0.3361, byte miss ratio 0.3361
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d cache size      231, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d cache size      772, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d cache size     2318, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d cache size     7727, 10575768 req, miss ratio 0.0214, byte miss ratio 0.0214
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d cache size    15455, 10575768 req, miss ratio 0.0212, byte miss ratio 0.0212
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d cache size    30910, 10575768 req, miss ratio 0.0117, byte miss ratio 0.0117
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO-d cache size    61821, 10575768 req, miss ratio 0.0091, byte miss ratio 0.0091
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO cache size       77, 10575768 req, miss ratio 0.3350, byte miss ratio 0.3350
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO cache size      231, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO cache size      772, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO cache size     2318, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO cache size     7727, 10575768 req, miss ratio 0.0214, byte miss ratio 0.0214
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO cache size    15455, 10575768 req, miss ratio 0.0212, byte miss ratio 0.0212
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO cache size    30910, 10575768 req, miss ratio 0.0117, byte miss ratio 0.0117
result/tencentBlock.ns23638.oracleGeneral.zst S3FIFO cache size    61821, 10575768 req, miss ratio 0.0091, byte miss ratio 0.0091
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       77, 10575768 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      231, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      772, 10575768 req, miss ratio 0.0218, byte miss ratio 0.0218
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2318, 10575768 req, miss ratio 0.0213, byte miss ratio 0.0213
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7727, 10575768 req, miss ratio 0.0195, byte miss ratio 0.0195
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15455, 10575768 req, miss ratio 0.0176, byte miss ratio 0.0176
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    30910, 10575768 req, miss ratio 0.0138, byte miss ratio 0.0138
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    61821, 10575768 req, miss ratio 0.0080, byte miss ratio 0.0080
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       77, 10575768 req, miss ratio 0.2109, byte miss ratio 0.2109
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      231, 10575768 req, miss ratio 0.0221, byte miss ratio 0.0221
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      772, 10575768 req, miss ratio 0.0219, byte miss ratio 0.0219
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2318, 10575768 req, miss ratio 0.0213, byte miss ratio 0.0213
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7727, 10575768 req, miss ratio 0.0197, byte miss ratio 0.0197
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15455, 10575768 req, miss ratio 0.0179, byte miss ratio 0.0179
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    30910, 10575768 req, miss ratio 0.0143, byte miss ratio 0.0143
result/tencentBlock.ns23638.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    61821, 10575768 req, miss ratio 0.0081, byte miss ratio 0.0081
