result/tencentBlock.ns15027.oracleGeneral.zst clock2 cache size    11594, 3329522 req, miss ratio 0.2790, byte miss ratio 0.2790
result/tencentBlock.ns15027.oracleGeneral.zst clock2 cache size    38646, 3329522 req, miss ratio 0.2147, byte miss ratio 0.2147
result/tencentBlock.ns15027.oracleGeneral.zst clock2 cache size    77293, 3329522 req, miss ratio 0.1745, byte miss ratio 0.1745
result/tencentBlock.ns15027.oracleGeneral.zst clock2 cache size   154587, 3329522 req, miss ratio 0.1328, byte miss ratio 0.1328
result/tencentBlock.ns15027.oracleGeneral.zst clock2 cache size   309175, 3329522 req, miss ratio 0.1169, byte miss ratio 0.1169
result/tencentBlock.ns15027.oracleGeneral.zst LeCaR cache size      386, 3329522 req, miss ratio 0.4960, byte miss ratio 0.4960
result/tencentBlock.ns15027.oracleGeneral.zst LeCaR cache size     1159, 3329522 req, miss ratio 0.4159, byte miss ratio 0.4159
result/tencentBlock.ns15027.oracleGeneral.zst LeCaR cache size     3864, 3329522 req, miss ratio 0.2975, byte miss ratio 0.2975
result/tencentBlock.ns15027.oracleGeneral.zst LeCaR cache size    11594, 3329522 req, miss ratio 0.2757, byte miss ratio 0.2757
result/tencentBlock.ns15027.oracleGeneral.zst LeCaR cache size    38646, 3329522 req, miss ratio 0.1985, byte miss ratio 0.1985
result/tencentBlock.ns15027.oracleGeneral.zst LeCaR cache size    77293, 3329522 req, miss ratio 0.1598, byte miss ratio 0.1598
result/tencentBlock.ns15027.oracleGeneral.zst LeCaR cache size   154587, 3329522 req, miss ratio 0.1298, byte miss ratio 0.1298
result/tencentBlock.ns15027.oracleGeneral.zst LeCaR cache size   309175, 3329522 req, miss ratio 0.1165, byte miss ratio 0.1165
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d-1 cache size      386, 3329522 req, miss ratio 0.4891, byte miss ratio 0.4891
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d-1 cache size     1159, 3329522 req, miss ratio 0.3628, byte miss ratio 0.3628
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d-1 cache size     3864, 3329522 req, miss ratio 0.2928, byte miss ratio 0.2928
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d-1 cache size    11594, 3329522 req, miss ratio 0.2572, byte miss ratio 0.2572
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d-1 cache size    38646, 3329522 req, miss ratio 0.2059, byte miss ratio 0.2059
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d-1 cache size    77293, 3329522 req, miss ratio 0.1602, byte miss ratio 0.1602
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d-1 cache size   154587, 3329522 req, miss ratio 0.1308, byte miss ratio 0.1308
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d-1 cache size   309175, 3329522 req, miss ratio 0.1168, byte miss ratio 0.1168
result/tencentBlock.ns15027.oracleGeneral.zst LRB cache size      386, 3329522 req, miss ratio 0.5529, byte miss ratio 0.5529
result/tencentBlock.ns15027.oracleGeneral.zst LRB cache size     1159, 3329522 req, miss ratio 0.3549, byte miss ratio 0.3549
result/tencentBlock.ns15027.oracleGeneral.zst LRB cache size     3864, 3329522 req, miss ratio 0.2954, byte miss ratio 0.2954
result/tencentBlock.ns15027.oracleGeneral.zst LRB cache size    11594, 3329522 req, miss ratio 0.2599, byte miss ratio 0.2599
result/tencentBlock.ns15027.oracleGeneral.zst LRB cache size    38646, 3329522 req, miss ratio 0.2063, byte miss ratio 0.2063
result/tencentBlock.ns15027.oracleGeneral.zst LRB cache size    77293, 3329522 req, miss ratio 0.1591, byte miss ratio 0.1591
result/tencentBlock.ns15027.oracleGeneral.zst LRB cache size   154587, 3329522 req, miss ratio 0.1258, byte miss ratio 0.1258
result/tencentBlock.ns15027.oracleGeneral.zst LRB cache size   309175, 3329522 req, miss ratio 0.1165, byte miss ratio 0.1165
result/tencentBlock.ns15027.oracleGeneral.zst S4LRU(25:25:25:25) cache size      386, 3329522 req, miss ratio 0.5606, byte miss ratio 0.5606
result/tencentBlock.ns15027.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1159, 3329522 req, miss ratio 0.4107, byte miss ratio 0.4107
result/tencentBlock.ns15027.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3864, 3329522 req, miss ratio 0.2960, byte miss ratio 0.2960
result/tencentBlock.ns15027.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11594, 3329522 req, miss ratio 0.2796, byte miss ratio 0.2796
result/tencentBlock.ns15027.oracleGeneral.zst S4LRU(25:25:25:25) cache size    38646, 3329522 req, miss ratio 0.2356, byte miss ratio 0.2356
result/tencentBlock.ns15027.oracleGeneral.zst S4LRU(25:25:25:25) cache size    77293, 3329522 req, miss ratio 0.1728, byte miss ratio 0.1728
result/tencentBlock.ns15027.oracleGeneral.zst S4LRU(25:25:25:25) cache size   154587, 3329522 req, miss ratio 0.1310, byte miss ratio 0.1310
result/tencentBlock.ns15027.oracleGeneral.zst S4LRU(25:25:25:25) cache size   309175, 3329522 req, miss ratio 0.1169, byte miss ratio 0.1169
result/tencentBlock.ns15027.oracleGeneral.zst TwoQ cache size      386, 3329522 req, miss ratio 0.4859, byte miss ratio 0.4859
result/tencentBlock.ns15027.oracleGeneral.zst TwoQ cache size     1159, 3329522 req, miss ratio 0.3527, byte miss ratio 0.3527
result/tencentBlock.ns15027.oracleGeneral.zst TwoQ cache size     3864, 3329522 req, miss ratio 0.2913, byte miss ratio 0.2913
