result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size  2872290, 39709499 req, miss ratio 0.2266, byte miss ratio 0.2266
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size  5744580, 39709499 req, miss ratio 0.1906, byte miss ratio 0.1906
result/tencentBlock.ns8937.oracleGeneral.zst LRB cache size     7180, 39709499 req, miss ratio 0.8284, byte miss ratio 0.8284
result/tencentBlock.ns8937.oracleGeneral.zst LRB cache size    21542, 39709499 req, miss ratio 0.7414, byte miss ratio 0.7414
result/tencentBlock.ns8937.oracleGeneral.zst LRB cache size    71807, 39709499 req, miss ratio 0.5151, byte miss ratio 0.5151
result/tencentBlock.ns8937.oracleGeneral.zst LRB cache size   215421, 39709499 req, miss ratio 0.3403, byte miss ratio 0.3403
result/tencentBlock.ns8937.oracleGeneral.zst LRB cache size   718072, 39709499 req, miss ratio 0.2722, byte miss ratio 0.2722
result/tencentBlock.ns8937.oracleGeneral.zst LRB cache size  1436145, 39709499 req, miss ratio 0.2435, byte miss ratio 0.2435
result/tencentBlock.ns8937.oracleGeneral.zst LRB cache size  2872290, 39709499 req, miss ratio 0.2102, byte miss ratio 0.2102
result/tencentBlock.ns8937.oracleGeneral.zst LRB cache size  5744580, 39709499 req, miss ratio 0.1854, byte miss ratio 0.1854
result/tencentBlock.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7180, 39709499 req, miss ratio 0.8206, byte miss ratio 0.8206
result/tencentBlock.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size    21542, 39709499 req, miss ratio 0.7467, byte miss ratio 0.7467
result/tencentBlock.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size    71807, 39709499 req, miss ratio 0.6660, byte miss ratio 0.6660
result/tencentBlock.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size   215421, 39709499 req, miss ratio 0.5368, byte miss ratio 0.5368
result/tencentBlock.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size   718072, 39709499 req, miss ratio 0.2574, byte miss ratio 0.2574
result/tencentBlock.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1436145, 39709499 req, miss ratio 0.2364, byte miss ratio 0.2364
result/tencentBlock.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2872290, 39709499 req, miss ratio 0.2217, byte miss ratio 0.2217
result/tencentBlock.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size  5744580, 39709499 req, miss ratio 0.1916, byte miss ratio 0.1916
result/tencentBlock.ns8937.oracleGeneral.zst B-LRU cache size     7180, 39709499 req, miss ratio 0.8386, byte miss ratio 0.8386
result/tencentBlock.ns8937.oracleGeneral.zst B-LRU cache size    21542, 39709499 req, miss ratio 0.8089, byte miss ratio 0.8089
result/tencentBlock.ns8937.oracleGeneral.zst B-LRU cache size    71807, 39709499 req, miss ratio 0.7194, byte miss ratio 0.7194
result/tencentBlock.ns8937.oracleGeneral.zst B-LRU cache size   215421, 39709499 req, miss ratio 0.3698, byte miss ratio 0.3698
result/tencentBlock.ns8937.oracleGeneral.zst B-LRU cache size   718072, 39709499 req, miss ratio 0.3378, byte miss ratio 0.3378
result/tencentBlock.ns8937.oracleGeneral.zst B-LRU cache size  1436145, 39709499 req, miss ratio 0.3329, byte miss ratio 0.3329
