result/tencentBlock.ns2982.oracleGeneral.zst ARC cache size    13723, 169624719 req, miss ratio 0.1884, byte miss ratio 0.1884
result/tencentBlock.ns2982.oracleGeneral.zst ARC cache size    41171, 169624719 req, miss ratio 0.1591, byte miss ratio 0.1591
result/tencentBlock.ns2982.oracleGeneral.zst ARC cache size   137238, 169624719 req, miss ratio 0.1248, byte miss ratio 0.1248
result/tencentBlock.ns2982.oracleGeneral.zst ARC cache size   411714, 169624719 req, miss ratio 0.1009, byte miss ratio 0.1009
result/tencentBlock.ns2982.oracleGeneral.zst ARC cache size  1372381, 169624719 req, miss ratio 0.0936, byte miss ratio 0.0936
result/tencentBlock.ns2982.oracleGeneral.zst ARC cache size  2744763, 169624719 req, miss ratio 0.0863, byte miss ratio 0.0863
result/tencentBlock.ns2982.oracleGeneral.zst ARC cache size  5489527, 169624719 req, miss ratio 0.0826, byte miss ratio 0.0826
result/tencentBlock.ns2982.oracleGeneral.zst ARC cache size 10979055, 169624719 req, miss ratio 0.0811, byte miss ratio 0.0811
result/tencentBlock.ns2982.oracleGeneral.zst Cacheus cache size    13723, 169624719 req, miss ratio 0.1955, byte miss ratio 0.1955
result/tencentBlock.ns2982.oracleGeneral.zst Cacheus cache size    41171, 169624719 req, miss ratio 0.1636, byte miss ratio 0.1636
result/tencentBlock.ns2982.oracleGeneral.zst Cacheus cache size   137238, 169624719 req, miss ratio 0.1308, byte miss ratio 0.1308
result/tencentBlock.ns2982.oracleGeneral.zst Cacheus cache size   411714, 169624719 req, miss ratio 0.1071, byte miss ratio 0.1071
result/tencentBlock.ns2982.oracleGeneral.zst Cacheus cache size  1372381, 169624719 req, miss ratio 0.0902, byte miss ratio 0.0902
result/tencentBlock.ns2982.oracleGeneral.zst Cacheus cache size  2744763, 169624719 req, miss ratio 0.0884, byte miss ratio 0.0884
result/tencentBlock.ns2982.oracleGeneral.zst Cacheus cache size  5489527, 169624719 req, miss ratio 0.0829, byte miss ratio 0.0829
result/tencentBlock.ns2982.oracleGeneral.zst Cacheus cache size 10979055, 169624719 req, miss ratio 0.0817, byte miss ratio 0.0817
result/tencentBlock.ns2982.oracleGeneral.zst LeCaR cache size    13723, 169624719 req, miss ratio 0.2051, byte miss ratio 0.2051
result/tencentBlock.ns2982.oracleGeneral.zst LeCaR cache size    41171, 169624719 req, miss ratio 0.1749, byte miss ratio 0.1749
result/tencentBlock.ns2982.oracleGeneral.zst LeCaR cache size   137238, 169624719 req, miss ratio 0.1406, byte miss ratio 0.1406
result/tencentBlock.ns2982.oracleGeneral.zst LeCaR cache size   411714, 169624719 req, miss ratio 0.1105, byte miss ratio 0.1105
result/tencentBlock.ns2982.oracleGeneral.zst LeCaR cache size  1372381, 169624719 req, miss ratio 0.0951, byte miss ratio 0.0951
result/tencentBlock.ns2982.oracleGeneral.zst LeCaR cache size  2744763, 169624719 req, miss ratio 0.0842, byte miss ratio 0.0842
result/tencentBlock.ns2982.oracleGeneral.zst LeCaR cache size  5489527, 169624719 req, miss ratio 0.0824, byte miss ratio 0.0824
result/tencentBlock.ns2982.oracleGeneral.zst LeCaR cache size 10979055, 169624719 req, miss ratio 0.0811, byte miss ratio 0.0811
result/tencentBlock.ns2982.oracleGeneral.zst LRU cache size    13723, 169624719 req, miss ratio 0.2088, byte miss ratio 0.2088
result/tencentBlock.ns2982.oracleGeneral.zst LRU cache size    41171, 169624719 req, miss ratio 0.1825, byte miss ratio 0.1825
result/tencentBlock.ns2982.oracleGeneral.zst LRU cache size   137238, 169624719 req, miss ratio 0.1420, byte miss ratio 0.1420
result/tencentBlock.ns2982.oracleGeneral.zst LRU cache size   411714, 169624719 req, miss ratio 0.1155, byte miss ratio 0.1155
result/tencentBlock.ns2982.oracleGeneral.zst LRU cache size  1372381, 169624719 req, miss ratio 0.0986, byte miss ratio 0.0986
result/tencentBlock.ns2982.oracleGeneral.zst LRU cache size  2744763, 169624719 req, miss ratio 0.0847, byte miss ratio 0.0847
result/tencentBlock.ns2982.oracleGeneral.zst LRU cache size  5489527, 169624719 req, miss ratio 0.0824, byte miss ratio 0.0824
result/tencentBlock.ns2982.oracleGeneral.zst LRU cache size 10979055, 169624719 req, miss ratio 0.0811, byte miss ratio 0.0811
result/tencentBlock.ns2982.oracleGeneral.zst LHD cache size    13723, 169624719 req, miss ratio 0.1873, byte miss ratio 0.1873
result/tencentBlock.ns2982.oracleGeneral.zst LHD cache size    41171, 169624719 req, miss ratio 0.1555, byte miss ratio 0.1555
result/tencentBlock.ns2982.oracleGeneral.zst LHD cache size   137238, 169624719 req, miss ratio 0.1194, byte miss ratio 0.1194
result/tencentBlock.ns2982.oracleGeneral.zst LHD cache size   411714, 169624719 req, miss ratio 0.0996, byte miss ratio 0.0996
result/tencentBlock.ns2982.oracleGeneral.zst LHD cache size  1372381, 169624719 req, miss ratio 0.0895, byte miss ratio 0.0895
result/tencentBlock.ns2982.oracleGeneral.zst LHD cache size  2744763, 169624719 req, miss ratio 0.0859, byte miss ratio 0.0859
result/tencentBlock.ns2982.oracleGeneral.zst LHD cache size  5489527, 169624719 req, miss ratio 0.0826, byte miss ratio 0.0826
result/tencentBlock.ns2982.oracleGeneral.zst LHD cache size 10979055, 169624719 req, miss ratio 0.0810, byte miss ratio 0.0810
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d-1 cache size    13723, 169624719 req, miss ratio 0.1885, byte miss ratio 0.1885
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d-1 cache size    41171, 169624719 req, miss ratio 0.1575, byte miss ratio 0.1575
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d-1 cache size   137238, 169624719 req, miss ratio 0.1209, byte miss ratio 0.1209
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d-1 cache size   411714, 169624719 req, miss ratio 0.0992, byte miss ratio 0.0992
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d-1 cache size  1372381, 169624719 req, miss ratio 0.0898, byte miss ratio 0.0898
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d-1 cache size  2744763, 169624719 req, miss ratio 0.0864, byte miss ratio 0.0864
