result/tencentBlock.ns18112.oracleGeneral.zst LRB cache size      148, 1244491 req, miss ratio 0.2062, byte miss ratio 0.2062
result/tencentBlock.ns18112.oracleGeneral.zst LRB cache size      494, 1244491 req, miss ratio 0.1852, byte miss ratio 0.1852
result/tencentBlock.ns18112.oracleGeneral.zst LRB cache size     1482, 1244491 req, miss ratio 0.1736, byte miss ratio 0.1736
result/tencentBlock.ns18112.oracleGeneral.zst LRB cache size     4941, 1244491 req, miss ratio 0.1524, byte miss ratio 0.1524
result/tencentBlock.ns18112.oracleGeneral.zst LRB cache size     9882, 1244491 req, miss ratio 0.1273, byte miss ratio 0.1273
result/tencentBlock.ns18112.oracleGeneral.zst LRB cache size    19764, 1244491 req, miss ratio 0.0631, byte miss ratio 0.0631
result/tencentBlock.ns18112.oracleGeneral.zst LRB cache size    39528, 1244491 req, miss ratio 0.0441, byte miss ratio 0.0441
result/tencentBlock.ns18112.oracleGeneral.zst B-LRU cache size       49, 1244491 req, miss ratio 0.3154, byte miss ratio 0.3154
result/tencentBlock.ns18112.oracleGeneral.zst B-LRU cache size      148, 1244491 req, miss ratio 0.2180, byte miss ratio 0.2180
result/tencentBlock.ns18112.oracleGeneral.zst B-LRU cache size      494, 1244491 req, miss ratio 0.1952, byte miss ratio 0.1952
result/tencentBlock.ns18112.oracleGeneral.zst B-LRU cache size     1482, 1244491 req, miss ratio 0.1902, byte miss ratio 0.1902
result/tencentBlock.ns18112.oracleGeneral.zst B-LRU cache size     4941, 1244491 req, miss ratio 0.1871, byte miss ratio 0.1871
result/tencentBlock.ns18112.oracleGeneral.zst B-LRU cache size     9882, 1244491 req, miss ratio 0.1746, byte miss ratio 0.1746
result/tencentBlock.ns18112.oracleGeneral.zst B-LRU cache size    19764, 1244491 req, miss ratio 0.0809, byte miss ratio 0.0809
result/tencentBlock.ns18112.oracleGeneral.zst B-LRU cache size    39528, 1244491 req, miss ratio 0.0648, byte miss ratio 0.0648
result/tencentBlock.ns18112.oracleGeneral.zst TwoQ cache size       49, 1244491 req, miss ratio 0.2711, byte miss ratio 0.2711
