result/tencentBlock.ns3801.oracleGeneral.zst B-LRU cache size     4756, 23854768 req, miss ratio 0.6106, byte miss ratio 0.6106
result/tencentBlock.ns3801.oracleGeneral.zst B-LRU cache size    15855, 23854768 req, miss ratio 0.5503, byte miss ratio 0.5503
result/tencentBlock.ns3801.oracleGeneral.zst B-LRU cache size    47566, 23854768 req, miss ratio 0.4485, byte miss ratio 0.4485
result/tencentBlock.ns3801.oracleGeneral.zst B-LRU cache size   158555, 23854768 req, miss ratio 0.2784, byte miss ratio 0.2784
result/tencentBlock.ns3801.oracleGeneral.zst B-LRU cache size   317111, 23854768 req, miss ratio 0.2174, byte miss ratio 0.2174
result/tencentBlock.ns3801.oracleGeneral.zst B-LRU cache size   634222, 23854768 req, miss ratio 0.1477, byte miss ratio 0.1477
result/tencentBlock.ns3801.oracleGeneral.zst B-LRU cache size  1268444, 23854768 req, miss ratio 0.1273, byte miss ratio 0.1273
result/tencentBlock.ns3801.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1585, 23854768 req, miss ratio 0.6265, byte miss ratio 0.6265
result/tencentBlock.ns3801.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4756, 23854768 req, miss ratio 0.5617, byte miss ratio 0.5617
result/tencentBlock.ns3801.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15855, 23854768 req, miss ratio 0.4950, byte miss ratio 0.4950
result/tencentBlock.ns3801.oracleGeneral.zst S4LRU(25:25:25:25) cache size    47566, 23854768 req, miss ratio 0.3975, byte miss ratio 0.3975
result/tencentBlock.ns3801.oracleGeneral.zst S4LRU(25:25:25:25) cache size   158555, 23854768 req, miss ratio 0.2425, byte miss ratio 0.2425
result/tencentBlock.ns3801.oracleGeneral.zst S4LRU(25:25:25:25) cache size   317111, 23854768 req, miss ratio 0.1608, byte miss ratio 0.1608
result/tencentBlock.ns3801.oracleGeneral.zst S4LRU(25:25:25:25) cache size   634222, 23854768 req, miss ratio 0.1040, byte miss ratio 0.1040
result/tencentBlock.ns3801.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1268444, 23854768 req, miss ratio 0.0690, byte miss ratio 0.0690
result/tencentBlock.ns3801.oracleGeneral.zst TwoQ cache size     1585, 23854768 req, miss ratio 0.6163, byte miss ratio 0.6163
result/tencentBlock.ns3801.oracleGeneral.zst TwoQ cache size     4756, 23854768 req, miss ratio 0.5500, byte miss ratio 0.5500
result/tencentBlock.ns3801.oracleGeneral.zst TwoQ cache size    15855, 23854768 req, miss ratio 0.4684, byte miss ratio 0.4684
result/tencentBlock.ns3801.oracleGeneral.zst TwoQ cache size    47566, 23854768 req, miss ratio 0.3650, byte miss ratio 0.3650
result/tencentBlock.ns3801.oracleGeneral.zst TwoQ cache size   158555, 23854768 req, miss ratio 0.2276, byte miss ratio 0.2276
result/tencentBlock.ns3801.oracleGeneral.zst TwoQ cache size   317111, 23854768 req, miss ratio 0.1578, byte miss ratio 0.1578
result/tencentBlock.ns3801.oracleGeneral.zst TwoQ cache size   634222, 23854768 req, miss ratio 0.1051, byte miss ratio 0.1051
result/tencentBlock.ns3801.oracleGeneral.zst TwoQ cache size  1268444, 23854768 req, miss ratio 0.0797, byte miss ratio 0.0797
result/tencentBlock.ns3801.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1585, 23854768 req, miss ratio 0.6432, byte miss ratio 0.6432
result/tencentBlock.ns3801.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4756, 23854768 req, miss ratio 0.5823, byte miss ratio 0.5823
result/tencentBlock.ns3801.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15855, 23854768 req, miss ratio 0.5139, byte miss ratio 0.5139
result/tencentBlock.ns3801.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    47566, 23854768 req, miss ratio 0.4208, byte miss ratio 0.4208
result/tencentBlock.ns3801.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   158555, 23854768 req, miss ratio 0.2675, byte miss ratio 0.2675
result/tencentBlock.ns3801.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   317111, 23854768 req, miss ratio 0.1829, byte miss ratio 0.1829
result/tencentBlock.ns3801.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   634222, 23854768 req, miss ratio 0.1184, byte miss ratio 0.1184
