result/tencentBlock.ns8324.oracleGeneral.zst ARC cache size     9281, 1251610 req, miss ratio 0.0947, byte miss ratio 0.0947
result/tencentBlock.ns8324.oracleGeneral.zst ARC cache size    18562, 1251610 req, miss ratio 0.0656, byte miss ratio 0.0656
result/tencentBlock.ns8324.oracleGeneral.zst ARC cache size    37124, 1251610 req, miss ratio 0.0388, byte miss ratio 0.0388
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d-1 cache size       46, 1251610 req, miss ratio 0.2731, byte miss ratio 0.2731
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d-1 cache size      139, 1251610 req, miss ratio 0.1835, byte miss ratio 0.1835
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d-1 cache size      464, 1251610 req, miss ratio 0.1647, byte miss ratio 0.1647
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d-1 cache size     1392, 1251610 req, miss ratio 0.1431, byte miss ratio 0.1431
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d-1 cache size     4640, 1251610 req, miss ratio 0.1071, byte miss ratio 0.1071
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d-1 cache size     9281, 1251610 req, miss ratio 0.0946, byte miss ratio 0.0946
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d-1 cache size    18562, 1251610 req, miss ratio 0.0668, byte miss ratio 0.0668
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d-1 cache size    37124, 1251610 req, miss ratio 0.0408, byte miss ratio 0.0408
result/tencentBlock.ns8324.oracleGeneral.zst LRB cache size       46, 1251610 req, miss ratio 0.3034, byte miss ratio 0.3034
result/tencentBlock.ns8324.oracleGeneral.zst LRB cache size      139, 1251610 req, miss ratio 0.1888, byte miss ratio 0.1888
result/tencentBlock.ns8324.oracleGeneral.zst LRB cache size      464, 1251610 req, miss ratio 0.1605, byte miss ratio 0.1605
result/tencentBlock.ns8324.oracleGeneral.zst LRB cache size     1392, 1251610 req, miss ratio 0.1292, byte miss ratio 0.1292
result/tencentBlock.ns8324.oracleGeneral.zst LRB cache size     4640, 1251610 req, miss ratio 0.1045, byte miss ratio 0.1045
result/tencentBlock.ns8324.oracleGeneral.zst LRB cache size     9281, 1251610 req, miss ratio 0.0883, byte miss ratio 0.0883
result/tencentBlock.ns8324.oracleGeneral.zst LRB cache size    18562, 1251610 req, miss ratio 0.0636, byte miss ratio 0.0636
result/tencentBlock.ns8324.oracleGeneral.zst LRB cache size    37124, 1251610 req, miss ratio 0.0379, byte miss ratio 0.0379
result/tencentBlock.ns8324.oracleGeneral.zst B-LRU cache size       46, 1251610 req, miss ratio 0.3593, byte miss ratio 0.3593
result/tencentBlock.ns8324.oracleGeneral.zst B-LRU cache size      139, 1251610 req, miss ratio 0.2132, byte miss ratio 0.2132
result/tencentBlock.ns8324.oracleGeneral.zst B-LRU cache size      464, 1251610 req, miss ratio 0.1909, byte miss ratio 0.1909
result/tencentBlock.ns8324.oracleGeneral.zst B-LRU cache size     1392, 1251610 req, miss ratio 0.1762, byte miss ratio 0.1762
result/tencentBlock.ns8324.oracleGeneral.zst B-LRU cache size     4640, 1251610 req, miss ratio 0.1271, byte miss ratio 0.1271
result/tencentBlock.ns8324.oracleGeneral.zst B-LRU cache size     9281, 1251610 req, miss ratio 0.1130, byte miss ratio 0.1130
result/tencentBlock.ns8324.oracleGeneral.zst B-LRU cache size    18562, 1251610 req, miss ratio 0.0865, byte miss ratio 0.0865
