result/tencentBlock.ns17681.oracleGeneral.zst LRU cache size   387301, 8172887 req, miss ratio 0.0595, byte miss ratio 0.0595
result/tencentBlock.ns17681.oracleGeneral.zst LHD cache size      484, 8172887 req, miss ratio 0.3450, byte miss ratio 0.3450
result/tencentBlock.ns17681.oracleGeneral.zst LHD cache size     1452, 8172887 req, miss ratio 0.2617, byte miss ratio 0.2617
result/tencentBlock.ns17681.oracleGeneral.zst LHD cache size     4841, 8172887 req, miss ratio 0.2112, byte miss ratio 0.2112
result/tencentBlock.ns17681.oracleGeneral.zst LHD cache size    14523, 8172887 req, miss ratio 0.1669, byte miss ratio 0.1669
result/tencentBlock.ns17681.oracleGeneral.zst LHD cache size    48412, 8172887 req, miss ratio 0.1147, byte miss ratio 0.1147
result/tencentBlock.ns17681.oracleGeneral.zst LHD cache size    96825, 8172887 req, miss ratio 0.0770, byte miss ratio 0.0770
result/tencentBlock.ns17681.oracleGeneral.zst LHD cache size   193650, 8172887 req, miss ratio 0.0636, byte miss ratio 0.0636
result/tencentBlock.ns17681.oracleGeneral.zst LHD cache size   387301, 8172887 req, miss ratio 0.0596, byte miss ratio 0.0596
result/tencentBlock.ns17681.oracleGeneral.zst LIRS cache size      484, 8172887 req, miss ratio 0.3007, byte miss ratio 0.3007
result/tencentBlock.ns17681.oracleGeneral.zst LIRS cache size     1452, 8172887 req, miss ratio 0.2545, byte miss ratio 0.2545
result/tencentBlock.ns17681.oracleGeneral.zst LIRS cache size     4841, 8172887 req, miss ratio 0.1993, byte miss ratio 0.1993
result/tencentBlock.ns17681.oracleGeneral.zst LIRS cache size    14523, 8172887 req, miss ratio 0.1704, byte miss ratio 0.1704
result/tencentBlock.ns17681.oracleGeneral.zst LIRS cache size    48412, 8172887 req, miss ratio 0.1247, byte miss ratio 0.1247
result/tencentBlock.ns17681.oracleGeneral.zst LIRS cache size    96825, 8172887 req, miss ratio 0.0833, byte miss ratio 0.0833
result/tencentBlock.ns17681.oracleGeneral.zst LIRS cache size   193650, 8172887 req, miss ratio 0.0641, byte miss ratio 0.0641
result/tencentBlock.ns17681.oracleGeneral.zst LIRS cache size   387301, 8172887 req, miss ratio 0.0597, byte miss ratio 0.0597
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d-1 cache size      484, 8172887 req, miss ratio 0.2913, byte miss ratio 0.2913
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d-1 cache size     1452, 8172887 req, miss ratio 0.2460, byte miss ratio 0.2460
