result/tencentBlock.ns6229.oracleGeneral.zst S4LRU(25:25:25:25) cache size      942, 1846135 req, miss ratio 0.2599, byte miss ratio 0.2599
result/tencentBlock.ns6229.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2828, 1846135 req, miss ratio 0.2462, byte miss ratio 0.2462
result/tencentBlock.ns6229.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9428, 1846135 req, miss ratio 0.2270, byte miss ratio 0.2270
result/tencentBlock.ns6229.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18857, 1846135 req, miss ratio 0.1990, byte miss ratio 0.1990
result/tencentBlock.ns6229.oracleGeneral.zst S4LRU(25:25:25:25) cache size    37714, 1846135 req, miss ratio 0.1528, byte miss ratio 0.1528
result/tencentBlock.ns6229.oracleGeneral.zst S4LRU(25:25:25:25) cache size    75428, 1846135 req, miss ratio 0.0550, byte miss ratio 0.0550
result/tencentBlock.ns6229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       94, 1846135 req, miss ratio 0.6140, byte miss ratio 0.6140
result/tencentBlock.ns6229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      282, 1846135 req, miss ratio 0.4058, byte miss ratio 0.4058
result/tencentBlock.ns6229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      942, 1846135 req, miss ratio 0.2718, byte miss ratio 0.2718
result/tencentBlock.ns6229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2828, 1846135 req, miss ratio 0.2512, byte miss ratio 0.2512
result/tencentBlock.ns6229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9428, 1846135 req, miss ratio 0.2375, byte miss ratio 0.2375
result/tencentBlock.ns6229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18857, 1846135 req, miss ratio 0.2154, byte miss ratio 0.2154
result/tencentBlock.ns6229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    37714, 1846135 req, miss ratio 0.1578, byte miss ratio 0.1578
result/tencentBlock.ns6229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    75428, 1846135 req, miss ratio 0.0759, byte miss ratio 0.0759
result/tencentBlock.ns6229.oracleGeneral.zst B-LRU cache size       94, 1846135 req, miss ratio 0.5566, byte miss ratio 0.5566
result/tencentBlock.ns6229.oracleGeneral.zst B-LRU cache size      282, 1846135 req, miss ratio 0.3817, byte miss ratio 0.3817
result/tencentBlock.ns6229.oracleGeneral.zst B-LRU cache size      942, 1846135 req, miss ratio 0.2668, byte miss ratio 0.2668
result/tencentBlock.ns6229.oracleGeneral.zst B-LRU cache size     2828, 1846135 req, miss ratio 0.2561, byte miss ratio 0.2561
result/tencentBlock.ns6229.oracleGeneral.zst B-LRU cache size     9428, 1846135 req, miss ratio 0.2507, byte miss ratio 0.2507
result/tencentBlock.ns6229.oracleGeneral.zst B-LRU cache size    18857, 1846135 req, miss ratio 0.2413, byte miss ratio 0.2413
result/tencentBlock.ns6229.oracleGeneral.zst B-LRU cache size    37714, 1846135 req, miss ratio 0.1855, byte miss ratio 0.1855
result/tencentBlock.ns6229.oracleGeneral.zst B-LRU cache size    75428, 1846135 req, miss ratio 0.0913, byte miss ratio 0.0913
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO cache size       94, 1846135 req, miss ratio 0.4812, byte miss ratio 0.4812
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO cache size      282, 1846135 req, miss ratio 0.3298, byte miss ratio 0.3298
