result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-1 cache size       72, 1742048 req, miss ratio 0.2316, byte miss ratio 0.2316
result/tencentBlock.ns4619.oracleGeneral.zst LIRS cache size       72, 1742048 req, miss ratio 0.2270, byte miss ratio 0.2270
result/tencentBlock.ns4619.oracleGeneral.zst LIRS cache size      217, 1742048 req, miss ratio 0.1722, byte miss ratio 0.1722
result/tencentBlock.ns4619.oracleGeneral.zst LIRS cache size      725, 1742048 req, miss ratio 0.1372, byte miss ratio 0.1372
result/tencentBlock.ns4619.oracleGeneral.zst LIRS cache size     2175, 1742048 req, miss ratio 0.1154, byte miss ratio 0.1154
result/tencentBlock.ns4619.oracleGeneral.zst LIRS cache size     7250, 1742048 req, miss ratio 0.0930, byte miss ratio 0.0930
result/tencentBlock.ns4619.oracleGeneral.zst LIRS cache size    14500, 1742048 req, miss ratio 0.0788, byte miss ratio 0.0788
result/tencentBlock.ns4619.oracleGeneral.zst LIRS cache size    29001, 1742048 req, miss ratio 0.0538, byte miss ratio 0.0538
result/tencentBlock.ns4619.oracleGeneral.zst LIRS cache size    58002, 1742048 req, miss ratio 0.0421, byte miss ratio 0.0421
result/tencentBlock.ns4619.oracleGeneral.zst LeCaR cache size       72, 1742048 req, miss ratio 0.2335, byte miss ratio 0.2335
result/tencentBlock.ns4619.oracleGeneral.zst LeCaR cache size      217, 1742048 req, miss ratio 0.1739, byte miss ratio 0.1739
result/tencentBlock.ns4619.oracleGeneral.zst LeCaR cache size      725, 1742048 req, miss ratio 0.1442, byte miss ratio 0.1442
result/tencentBlock.ns4619.oracleGeneral.zst LeCaR cache size     2175, 1742048 req, miss ratio 0.1208, byte miss ratio 0.1208
result/tencentBlock.ns4619.oracleGeneral.zst LeCaR cache size     7250, 1742048 req, miss ratio 0.0982, byte miss ratio 0.0982
result/tencentBlock.ns4619.oracleGeneral.zst LeCaR cache size    14500, 1742048 req, miss ratio 0.0789, byte miss ratio 0.0789
result/tencentBlock.ns4619.oracleGeneral.zst LeCaR cache size    29001, 1742048 req, miss ratio 0.0525, byte miss ratio 0.0525
result/tencentBlock.ns4619.oracleGeneral.zst LeCaR cache size    58002, 1742048 req, miss ratio 0.0418, byte miss ratio 0.0418
result/tencentBlock.ns4619.oracleGeneral.zst Clock cache size       72, 1742048 req, miss ratio 0.2414, byte miss ratio 0.2414
result/tencentBlock.ns4619.oracleGeneral.zst Clock cache size      217, 1742048 req, miss ratio 0.1784, byte miss ratio 0.1784
result/tencentBlock.ns4619.oracleGeneral.zst Clock cache size      725, 1742048 req, miss ratio 0.1486, byte miss ratio 0.1486
result/tencentBlock.ns4619.oracleGeneral.zst Clock cache size     2175, 1742048 req, miss ratio 0.1242, byte miss ratio 0.1242
result/tencentBlock.ns4619.oracleGeneral.zst Clock cache size     7250, 1742048 req, miss ratio 0.1097, byte miss ratio 0.1097
result/tencentBlock.ns4619.oracleGeneral.zst Clock cache size    14500, 1742048 req, miss ratio 0.0825, byte miss ratio 0.0825
result/tencentBlock.ns4619.oracleGeneral.zst Clock cache size    29001, 1742048 req, miss ratio 0.0584, byte miss ratio 0.0584
result/tencentBlock.ns4619.oracleGeneral.zst Clock cache size    58002, 1742048 req, miss ratio 0.0421, byte miss ratio 0.0421
result/tencentBlock.ns4619.oracleGeneral.zst LRU cache size       72, 1742048 req, miss ratio 0.2503, byte miss ratio 0.2503
result/tencentBlock.ns4619.oracleGeneral.zst LRU cache size      217, 1742048 req, miss ratio 0.1798, byte miss ratio 0.1798
result/tencentBlock.ns4619.oracleGeneral.zst LRU cache size      725, 1742048 req, miss ratio 0.1455, byte miss ratio 0.1455
result/tencentBlock.ns4619.oracleGeneral.zst LRU cache size     2175, 1742048 req, miss ratio 0.1236, byte miss ratio 0.1236
result/tencentBlock.ns4619.oracleGeneral.zst LRU cache size     7250, 1742048 req, miss ratio 0.0954, byte miss ratio 0.0954
result/tencentBlock.ns4619.oracleGeneral.zst LRU cache size    14500, 1742048 req, miss ratio 0.0795, byte miss ratio 0.0795
result/tencentBlock.ns4619.oracleGeneral.zst LRU cache size    29001, 1742048 req, miss ratio 0.0529, byte miss ratio 0.0529
result/tencentBlock.ns4619.oracleGeneral.zst LRU cache size    58002, 1742048 req, miss ratio 0.0418, byte miss ratio 0.0418
result/tencentBlock.ns4619.oracleGeneral.zst LHD cache size       72, 1742048 req, miss ratio 0.2687, byte miss ratio 0.2687
result/tencentBlock.ns4619.oracleGeneral.zst LHD cache size      217, 1742048 req, miss ratio 0.1790, byte miss ratio 0.1790
result/tencentBlock.ns4619.oracleGeneral.zst LHD cache size      725, 1742048 req, miss ratio 0.1427, byte miss ratio 0.1427
result/tencentBlock.ns4619.oracleGeneral.zst LHD cache size     2175, 1742048 req, miss ratio 0.1206, byte miss ratio 0.1206
result/tencentBlock.ns4619.oracleGeneral.zst LHD cache size     7250, 1742048 req, miss ratio 0.0975, byte miss ratio 0.0975
result/tencentBlock.ns4619.oracleGeneral.zst LHD cache size    14500, 1742048 req, miss ratio 0.0778, byte miss ratio 0.0778
result/tencentBlock.ns4619.oracleGeneral.zst LHD cache size    29001, 1742048 req, miss ratio 0.0532, byte miss ratio 0.0532
result/tencentBlock.ns4619.oracleGeneral.zst LHD cache size    58002, 1742048 req, miss ratio 0.0426, byte miss ratio 0.0426
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d-1 cache size       72, 1742048 req, miss ratio 0.2230, byte miss ratio 0.2230
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d-1 cache size      217, 1742048 req, miss ratio 0.1628, byte miss ratio 0.1628
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d-1 cache size      725, 1742048 req, miss ratio 0.1323, byte miss ratio 0.1323
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d-1 cache size     2175, 1742048 req, miss ratio 0.1130, byte miss ratio 0.1130
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d-1 cache size     7250, 1742048 req, miss ratio 0.0936, byte miss ratio 0.0936
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d-1 cache size    14500, 1742048 req, miss ratio 0.0792, byte miss ratio 0.0792
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d-1 cache size    29001, 1742048 req, miss ratio 0.0541, byte miss ratio 0.0541
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d-1 cache size    58002, 1742048 req, miss ratio 0.0420, byte miss ratio 0.0420
result/tencentBlock.ns4619.oracleGeneral.zst LRB cache size       72, 1742048 req, miss ratio 0.2453, byte miss ratio 0.2453
result/tencentBlock.ns4619.oracleGeneral.zst LRB cache size      217, 1742048 req, miss ratio 0.1652, byte miss ratio 0.1652
result/tencentBlock.ns4619.oracleGeneral.zst LRB cache size      725, 1742048 req, miss ratio 0.1272, byte miss ratio 0.1272
result/tencentBlock.ns4619.oracleGeneral.zst LRB cache size     2175, 1742048 req, miss ratio 0.1066, byte miss ratio 0.1066
result/tencentBlock.ns4619.oracleGeneral.zst LRB cache size     7250, 1742048 req, miss ratio 0.0904, byte miss ratio 0.0904
result/tencentBlock.ns4619.oracleGeneral.zst LRB cache size    14500, 1742048 req, miss ratio 0.0734, byte miss ratio 0.0734
result/tencentBlock.ns4619.oracleGeneral.zst LRB cache size    29001, 1742048 req, miss ratio 0.0530, byte miss ratio 0.0530
result/tencentBlock.ns4619.oracleGeneral.zst LRB cache size    58002, 1742048 req, miss ratio 0.0418, byte miss ratio 0.0418
result/tencentBlock.ns4619.oracleGeneral.zst B-LRU cache size       72, 1742048 req, miss ratio 0.2582, byte miss ratio 0.2582
result/tencentBlock.ns4619.oracleGeneral.zst B-LRU cache size      217, 1742048 req, miss ratio 0.1955, byte miss ratio 0.1955
result/tencentBlock.ns4619.oracleGeneral.zst B-LRU cache size      725, 1742048 req, miss ratio 0.1605, byte miss ratio 0.1605
result/tencentBlock.ns4619.oracleGeneral.zst B-LRU cache size     2175, 1742048 req, miss ratio 0.1393, byte miss ratio 0.1393
result/tencentBlock.ns4619.oracleGeneral.zst B-LRU cache size     7250, 1742048 req, miss ratio 0.1113, byte miss ratio 0.1113
result/tencentBlock.ns4619.oracleGeneral.zst B-LRU cache size    14500, 1742048 req, miss ratio 0.0989, byte miss ratio 0.0989
result/tencentBlock.ns4619.oracleGeneral.zst B-LRU cache size    29001, 1742048 req, miss ratio 0.0783, byte miss ratio 0.0783
result/tencentBlock.ns4619.oracleGeneral.zst B-LRU cache size    58002, 1742048 req, miss ratio 0.0737, byte miss ratio 0.0737
result/tencentBlock.ns4619.oracleGeneral.zst TwoQ cache size       72, 1742048 req, miss ratio 0.2241, byte miss ratio 0.2241
result/tencentBlock.ns4619.oracleGeneral.zst TwoQ cache size      217, 1742048 req, miss ratio 0.1699, byte miss ratio 0.1699
result/tencentBlock.ns4619.oracleGeneral.zst TwoQ cache size      725, 1742048 req, miss ratio 0.1350, byte miss ratio 0.1350
result/tencentBlock.ns4619.oracleGeneral.zst TwoQ cache size     2175, 1742048 req, miss ratio 0.1123, byte miss ratio 0.1123
result/tencentBlock.ns4619.oracleGeneral.zst TwoQ cache size     7250, 1742048 req, miss ratio 0.0908, byte miss ratio 0.0908
result/tencentBlock.ns4619.oracleGeneral.zst TwoQ cache size    14500, 1742048 req, miss ratio 0.0747, byte miss ratio 0.0747
result/tencentBlock.ns4619.oracleGeneral.zst TwoQ cache size    29001, 1742048 req, miss ratio 0.0556, byte miss ratio 0.0556
result/tencentBlock.ns4619.oracleGeneral.zst TwoQ cache size    58002, 1742048 req, miss ratio 0.0468, byte miss ratio 0.0468
result/tencentBlock.ns4619.oracleGeneral.zst S4LRU(25:25:25:25) cache size       72, 1742048 req, miss ratio 0.2670, byte miss ratio 0.2670
result/tencentBlock.ns4619.oracleGeneral.zst S4LRU(25:25:25:25) cache size      217, 1742048 req, miss ratio 0.1706, byte miss ratio 0.1706
result/tencentBlock.ns4619.oracleGeneral.zst S4LRU(25:25:25:25) cache size      725, 1742048 req, miss ratio 0.1435, byte miss ratio 0.1435
result/tencentBlock.ns4619.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2175, 1742048 req, miss ratio 0.1200, byte miss ratio 0.1200
result/tencentBlock.ns4619.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7250, 1742048 req, miss ratio 0.1017, byte miss ratio 0.1017
result/tencentBlock.ns4619.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14500, 1742048 req, miss ratio 0.0902, byte miss ratio 0.0902
result/tencentBlock.ns4619.oracleGeneral.zst S4LRU(25:25:25:25) cache size    29001, 1742048 req, miss ratio 0.0616, byte miss ratio 0.0616
result/tencentBlock.ns4619.oracleGeneral.zst S4LRU(25:25:25:25) cache size    58002, 1742048 req, miss ratio 0.0419, byte miss ratio 0.0419
result/tencentBlock.ns4619.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       72, 1742048 req, miss ratio 0.3420, byte miss ratio 0.3420
result/tencentBlock.ns4619.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      217, 1742048 req, miss ratio 0.1951, byte miss ratio 0.1951
result/tencentBlock.ns4619.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      725, 1742048 req, miss ratio 0.1553, byte miss ratio 0.1553
result/tencentBlock.ns4619.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2175, 1742048 req, miss ratio 0.1305, byte miss ratio 0.1305
result/tencentBlock.ns4619.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7250, 1742048 req, miss ratio 0.1107, byte miss ratio 0.1107
result/tencentBlock.ns4619.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14500, 1742048 req, miss ratio 0.0938, byte miss ratio 0.0938
result/tencentBlock.ns4619.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    29001, 1742048 req, miss ratio 0.0752, byte miss ratio 0.0752
result/tencentBlock.ns4619.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    58002, 1742048 req, miss ratio 0.0470, byte miss ratio 0.0470
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d cache size       72, 1742048 req, miss ratio 0.2260, byte miss ratio 0.2260
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d cache size      217, 1742048 req, miss ratio 0.1635, byte miss ratio 0.1635
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d cache size      725, 1742048 req, miss ratio 0.1319, byte miss ratio 0.1319
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d cache size     2175, 1742048 req, miss ratio 0.1131, byte miss ratio 0.1131
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d cache size     7250, 1742048 req, miss ratio 0.0925, byte miss ratio 0.0925
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d cache size    14500, 1742048 req, miss ratio 0.0788, byte miss ratio 0.0788
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d cache size    29001, 1742048 req, miss ratio 0.0556, byte miss ratio 0.0556
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO-d cache size    58002, 1742048 req, miss ratio 0.0426, byte miss ratio 0.0426
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO cache size       72, 1742048 req, miss ratio 0.2330, byte miss ratio 0.2330
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO cache size      217, 1742048 req, miss ratio 0.1649, byte miss ratio 0.1649
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO cache size      725, 1742048 req, miss ratio 0.1326, byte miss ratio 0.1326
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO cache size     2175, 1742048 req, miss ratio 0.1131, byte miss ratio 0.1131
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO cache size     7250, 1742048 req, miss ratio 0.0925, byte miss ratio 0.0925
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO cache size    14500, 1742048 req, miss ratio 0.0788, byte miss ratio 0.0788
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO cache size    29001, 1742048 req, miss ratio 0.0555, byte miss ratio 0.0555
result/tencentBlock.ns4619.oracleGeneral.zst S3FIFO cache size    58002, 1742048 req, miss ratio 0.0426, byte miss ratio 0.0426
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       72, 1742048 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      217, 1742048 req, miss ratio 0.3182, byte miss ratio 0.3182
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      725, 1742048 req, miss ratio 0.1757, byte miss ratio 0.1757
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2175, 1742048 req, miss ratio 0.1106, byte miss ratio 0.1106
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7250, 1742048 req, miss ratio 0.0888, byte miss ratio 0.0888
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14500, 1742048 req, miss ratio 0.0718, byte miss ratio 0.0718
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    29001, 1742048 req, miss ratio 0.0512, byte miss ratio 0.0512
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    58002, 1742048 req, miss ratio 0.0427, byte miss ratio 0.0427
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       72, 1742048 req, miss ratio 0.3718, byte miss ratio 0.3718
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      217, 1742048 req, miss ratio 0.1615, byte miss ratio 0.1615
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      725, 1742048 req, miss ratio 0.1237, byte miss ratio 0.1237
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2175, 1742048 req, miss ratio 0.1054, byte miss ratio 0.1054
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7250, 1742048 req, miss ratio 0.0892, byte miss ratio 0.0892
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14500, 1742048 req, miss ratio 0.0721, byte miss ratio 0.0721
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    29001, 1742048 req, miss ratio 0.0520, byte miss ratio 0.0520
result/tencentBlock.ns4619.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    58002, 1742048 req, miss ratio 0.0439, byte miss ratio 0.0439
