result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d-1 cache size    36790, 2607201 req, miss ratio 0.0422, byte miss ratio 0.0422
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d-1 cache size    73581, 2607201 req, miss ratio 0.0362, byte miss ratio 0.0362
result/tencentBlock.ns19903.oracleGeneral.zst LRB cache size       91, 2607201 req, miss ratio 0.2746, byte miss ratio 0.2746
result/tencentBlock.ns19903.oracleGeneral.zst LRB cache size      275, 2607201 req, miss ratio 0.1898, byte miss ratio 0.1898
result/tencentBlock.ns19903.oracleGeneral.zst LRB cache size      919, 2607201 req, miss ratio 0.1589, byte miss ratio 0.1589
result/tencentBlock.ns19903.oracleGeneral.zst LRB cache size     2759, 2607201 req, miss ratio 0.1392, byte miss ratio 0.1392
result/tencentBlock.ns19903.oracleGeneral.zst LRB cache size     9197, 2607201 req, miss ratio 0.1116, byte miss ratio 0.1116
result/tencentBlock.ns19903.oracleGeneral.zst LRB cache size    18395, 2607201 req, miss ratio 0.0773, byte miss ratio 0.0773
result/tencentBlock.ns19903.oracleGeneral.zst LRB cache size    36790, 2607201 req, miss ratio 0.0511, byte miss ratio 0.0511
result/tencentBlock.ns19903.oracleGeneral.zst LRB cache size    73581, 2607201 req, miss ratio 0.0368, byte miss ratio 0.0368
result/tencentBlock.ns19903.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       91, 2607201 req, miss ratio 0.3227, byte miss ratio 0.3227
result/tencentBlock.ns19903.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      275, 2607201 req, miss ratio 0.2117, byte miss ratio 0.2117
result/tencentBlock.ns19903.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      919, 2607201 req, miss ratio 0.1707, byte miss ratio 0.1707
result/tencentBlock.ns19903.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2759, 2607201 req, miss ratio 0.1548, byte miss ratio 0.1548
result/tencentBlock.ns19903.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9197, 2607201 req, miss ratio 0.1368, byte miss ratio 0.1368
result/tencentBlock.ns19903.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18395, 2607201 req, miss ratio 0.1058, byte miss ratio 0.1058
result/tencentBlock.ns19903.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    36790, 2607201 req, miss ratio 0.0672, byte miss ratio 0.0672
result/tencentBlock.ns19903.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    73581, 2607201 req, miss ratio 0.0418, byte miss ratio 0.0418
result/tencentBlock.ns19903.oracleGeneral.zst B-LRU cache size       91, 2607201 req, miss ratio 0.2756, byte miss ratio 0.2756
result/tencentBlock.ns19903.oracleGeneral.zst B-LRU cache size      275, 2607201 req, miss ratio 0.2088, byte miss ratio 0.2088
result/tencentBlock.ns19903.oracleGeneral.zst B-LRU cache size      919, 2607201 req, miss ratio 0.1793, byte miss ratio 0.1793
result/tencentBlock.ns19903.oracleGeneral.zst B-LRU cache size     2759, 2607201 req, miss ratio 0.1662, byte miss ratio 0.1662
result/tencentBlock.ns19903.oracleGeneral.zst B-LRU cache size     9197, 2607201 req, miss ratio 0.1473, byte miss ratio 0.1473
result/tencentBlock.ns19903.oracleGeneral.zst B-LRU cache size    18395, 2607201 req, miss ratio 0.1007, byte miss ratio 0.1007
result/tencentBlock.ns19903.oracleGeneral.zst B-LRU cache size    36790, 2607201 req, miss ratio 0.0632, byte miss ratio 0.0632
