result/tencentBlock.ns16864.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2199, 5937784 req, miss ratio 0.7177, byte miss ratio 0.7177
result/tencentBlock.ns16864.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6598, 5937784 req, miss ratio 0.7157, byte miss ratio 0.7157
result/tencentBlock.ns16864.oracleGeneral.zst S4LRU(25:25:25:25) cache size    21995, 5937784 req, miss ratio 0.7067, byte miss ratio 0.7067
result/tencentBlock.ns16864.oracleGeneral.zst S4LRU(25:25:25:25) cache size    65985, 5937784 req, miss ratio 0.6935, byte miss ratio 0.6935
result/tencentBlock.ns16864.oracleGeneral.zst S4LRU(25:25:25:25) cache size   219950, 5937784 req, miss ratio 0.6086, byte miss ratio 0.6086
result/tencentBlock.ns16864.oracleGeneral.zst S4LRU(25:25:25:25) cache size   439900, 5937784 req, miss ratio 0.5381, byte miss ratio 0.5381
result/tencentBlock.ns16864.oracleGeneral.zst S4LRU(25:25:25:25) cache size   879800, 5937784 req, miss ratio 0.4351, byte miss ratio 0.4351
result/tencentBlock.ns16864.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1759601, 5937784 req, miss ratio 0.3808, byte miss ratio 0.3808
result/tencentBlock.ns16864.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2199, 5937784 req, miss ratio 0.7197, byte miss ratio 0.7197
result/tencentBlock.ns16864.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6598, 5937784 req, miss ratio 0.7164, byte miss ratio 0.7164
result/tencentBlock.ns16864.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    21995, 5937784 req, miss ratio 0.7136, byte miss ratio 0.7136
result/tencentBlock.ns16864.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    65985, 5937784 req, miss ratio 0.6995, byte miss ratio 0.6995
result/tencentBlock.ns16864.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   219950, 5937784 req, miss ratio 0.6491, byte miss ratio 0.6491
result/tencentBlock.ns16864.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   439900, 5937784 req, miss ratio 0.5534, byte miss ratio 0.5534
result/tencentBlock.ns16864.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   879800, 5937784 req, miss ratio 0.4535, byte miss ratio 0.4535
result/tencentBlock.ns16864.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1759601, 5937784 req, miss ratio 0.3854, byte miss ratio 0.3854
result/tencentBlock.ns16864.oracleGeneral.zst TwoQ cache size     2199, 5937784 req, miss ratio 0.7176, byte miss ratio 0.7176
result/tencentBlock.ns16864.oracleGeneral.zst TwoQ cache size     6598, 5937784 req, miss ratio 0.7148, byte miss ratio 0.7148
result/tencentBlock.ns16864.oracleGeneral.zst TwoQ cache size    21995, 5937784 req, miss ratio 0.6920, byte miss ratio 0.6920
result/tencentBlock.ns16864.oracleGeneral.zst TwoQ cache size    65985, 5937784 req, miss ratio 0.6775, byte miss ratio 0.6775
result/tencentBlock.ns16864.oracleGeneral.zst TwoQ cache size   219950, 5937784 req, miss ratio 0.5847, byte miss ratio 0.5847
result/tencentBlock.ns16864.oracleGeneral.zst TwoQ cache size   439900, 5937784 req, miss ratio 0.5301, byte miss ratio 0.5301
result/tencentBlock.ns16864.oracleGeneral.zst TwoQ cache size   879800, 5937784 req, miss ratio 0.4608, byte miss ratio 0.4608
result/tencentBlock.ns16864.oracleGeneral.zst TwoQ cache size  1759601, 5937784 req, miss ratio 0.3967, byte miss ratio 0.3967
result/tencentBlock.ns16864.oracleGeneral.zst B-LRU cache size     2199, 5937784 req, miss ratio 0.7756, byte miss ratio 0.7756
result/tencentBlock.ns16864.oracleGeneral.zst B-LRU cache size     6598, 5937784 req, miss ratio 0.7739, byte miss ratio 0.7739
result/tencentBlock.ns16864.oracleGeneral.zst B-LRU cache size    21995, 5937784 req, miss ratio 0.7612, byte miss ratio 0.7612
result/tencentBlock.ns16864.oracleGeneral.zst B-LRU cache size    65985, 5937784 req, miss ratio 0.7478, byte miss ratio 0.7478
result/tencentBlock.ns16864.oracleGeneral.zst B-LRU cache size   219950, 5937784 req, miss ratio 0.6590, byte miss ratio 0.6590
result/tencentBlock.ns16864.oracleGeneral.zst B-LRU cache size   439900, 5937784 req, miss ratio 0.5708, byte miss ratio 0.5708
result/tencentBlock.ns16864.oracleGeneral.zst B-LRU cache size   879800, 5937784 req, miss ratio 0.5437, byte miss ratio 0.5437
result/tencentBlock.ns16864.oracleGeneral.zst B-LRU cache size  1759601, 5937784 req, miss ratio 0.5423, byte miss ratio 0.5423
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO cache size     2199, 5937784 req, miss ratio 0.7170, byte miss ratio 0.7170
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO cache size     6598, 5937784 req, miss ratio 0.7153, byte miss ratio 0.7153
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO cache size    21995, 5937784 req, miss ratio 0.7001, byte miss ratio 0.7001
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO cache size    65985, 5937784 req, miss ratio 0.6658, byte miss ratio 0.6658
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO cache size   219950, 5937784 req, miss ratio 0.5632, byte miss ratio 0.5632
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO cache size   439900, 5937784 req, miss ratio 0.5053, byte miss ratio 0.5053
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO cache size   879800, 5937784 req, miss ratio 0.4383, byte miss ratio 0.4383
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO cache size  1759601, 5937784 req, miss ratio 0.3799, byte miss ratio 0.3799
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d cache size     2199, 5937784 req, miss ratio 0.7168, byte miss ratio 0.7168
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d cache size     6598, 5937784 req, miss ratio 0.7153, byte miss ratio 0.7153
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d cache size    21995, 5937784 req, miss ratio 0.7001, byte miss ratio 0.7001
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d cache size    65985, 5937784 req, miss ratio 0.6657, byte miss ratio 0.6657
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d cache size   219950, 5937784 req, miss ratio 0.5629, byte miss ratio 0.5629
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d cache size   439900, 5937784 req, miss ratio 0.5052, byte miss ratio 0.5052
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d cache size   879800, 5937784 req, miss ratio 0.4383, byte miss ratio 0.4383
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-d cache size  1759601, 5937784 req, miss ratio 0.3799, byte miss ratio 0.3799
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2199, 5937784 req, miss ratio 0.7935, byte miss ratio 0.7935
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6598, 5937784 req, miss ratio 0.7215, byte miss ratio 0.7215
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    21995, 5937784 req, miss ratio 0.6918, byte miss ratio 0.6918
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    65985, 5937784 req, miss ratio 0.6567, byte miss ratio 0.6567
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   219950, 5937784 req, miss ratio 0.5721, byte miss ratio 0.5721
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   439900, 5937784 req, miss ratio 0.5014, byte miss ratio 0.5014
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   879800, 5937784 req, miss ratio 0.4319, byte miss ratio 0.4319
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1759601, 5937784 req, miss ratio 0.3797, byte miss ratio 0.3797
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2199, 5937784 req, miss ratio 0.7165, byte miss ratio 0.7165
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6598, 5937784 req, miss ratio 0.7060, byte miss ratio 0.7060
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    21995, 5937784 req, miss ratio 0.6907, byte miss ratio 0.6907
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    65985, 5937784 req, miss ratio 0.6585, byte miss ratio 0.6585
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   219950, 5937784 req, miss ratio 0.5842, byte miss ratio 0.5842
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   439900, 5937784 req, miss ratio 0.5189, byte miss ratio 0.5189
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   879800, 5937784 req, miss ratio 0.4441, byte miss ratio 0.4441
result/tencentBlock.ns16864.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1759601, 5937784 req, miss ratio 0.3862, byte miss ratio 0.3862
