result/tencentBlock.ns5318.oracleGeneral.zst FIFO cache size       57, 17918875 req, miss ratio 0.7381, byte miss ratio 0.7381
result/tencentBlock.ns5318.oracleGeneral.zst LHD cache size      171, 17918875 req, miss ratio 0.3505, byte miss ratio 0.3505
result/tencentBlock.ns5318.oracleGeneral.zst LHD cache size      571, 17918875 req, miss ratio 0.2029, byte miss ratio 0.2029
result/tencentBlock.ns5318.oracleGeneral.zst LHD cache size     1713, 17918875 req, miss ratio 0.0935, byte miss ratio 0.0935
result/tencentBlock.ns5318.oracleGeneral.zst LHD cache size     5712, 17918875 req, miss ratio 0.0513, byte miss ratio 0.0513
result/tencentBlock.ns5318.oracleGeneral.zst LHD cache size    11424, 17918875 req, miss ratio 0.0317, byte miss ratio 0.0317
result/tencentBlock.ns5318.oracleGeneral.zst LHD cache size    22849, 17918875 req, miss ratio 0.0068, byte miss ratio 0.0068
result/tencentBlock.ns5318.oracleGeneral.zst LHD cache size    45699, 17918875 req, miss ratio 0.0034, byte miss ratio 0.0034
result/tencentBlock.ns5318.oracleGeneral.zst Cacheus cache size       57, 17918875 req, miss ratio 0.6041, byte miss ratio 0.6041
result/tencentBlock.ns5318.oracleGeneral.zst Cacheus cache size      171, 17918875 req, miss ratio 0.3612, byte miss ratio 0.3612
result/tencentBlock.ns5318.oracleGeneral.zst Cacheus cache size      571, 17918875 req, miss ratio 0.1988, byte miss ratio 0.1988
result/tencentBlock.ns5318.oracleGeneral.zst Cacheus cache size     1713, 17918875 req, miss ratio 0.0942, byte miss ratio 0.0942
result/tencentBlock.ns5318.oracleGeneral.zst Cacheus cache size     5712, 17918875 req, miss ratio 0.0515, byte miss ratio 0.0515
result/tencentBlock.ns5318.oracleGeneral.zst Cacheus cache size    11424, 17918875 req, miss ratio 0.0348, byte miss ratio 0.0348
result/tencentBlock.ns5318.oracleGeneral.zst Cacheus cache size    22849, 17918875 req, miss ratio 0.0071, byte miss ratio 0.0071
result/tencentBlock.ns5318.oracleGeneral.zst Cacheus cache size    45699, 17918875 req, miss ratio 0.0033, byte miss ratio 0.0033
result/tencentBlock.ns5318.oracleGeneral.zst LeCaR cache size       57, 17918875 req, miss ratio 0.6287, byte miss ratio 0.6287
result/tencentBlock.ns5318.oracleGeneral.zst LeCaR cache size      171, 17918875 req, miss ratio 0.4003, byte miss ratio 0.4003
result/tencentBlock.ns5318.oracleGeneral.zst LeCaR cache size      571, 17918875 req, miss ratio 0.2033, byte miss ratio 0.2033
result/tencentBlock.ns5318.oracleGeneral.zst LeCaR cache size     1713, 17918875 req, miss ratio 0.1101, byte miss ratio 0.1101
result/tencentBlock.ns5318.oracleGeneral.zst LeCaR cache size     5712, 17918875 req, miss ratio 0.0519, byte miss ratio 0.0519
result/tencentBlock.ns5318.oracleGeneral.zst LeCaR cache size    11424, 17918875 req, miss ratio 0.0327, byte miss ratio 0.0327
result/tencentBlock.ns5318.oracleGeneral.zst LeCaR cache size    22849, 17918875 req, miss ratio 0.0072, byte miss ratio 0.0072
result/tencentBlock.ns5318.oracleGeneral.zst LeCaR cache size    45699, 17918875 req, miss ratio 0.0033, byte miss ratio 0.0033
result/tencentBlock.ns5318.oracleGeneral.zst LRU cache size       57, 17918875 req, miss ratio 0.6626, byte miss ratio 0.6626
result/tencentBlock.ns5318.oracleGeneral.zst LRU cache size      171, 17918875 req, miss ratio 0.4594, byte miss ratio 0.4594
result/tencentBlock.ns5318.oracleGeneral.zst LRU cache size      571, 17918875 req, miss ratio 0.2169, byte miss ratio 0.2169
result/tencentBlock.ns5318.oracleGeneral.zst LRU cache size     1713, 17918875 req, miss ratio 0.1417, byte miss ratio 0.1417
result/tencentBlock.ns5318.oracleGeneral.zst LRU cache size     5712, 17918875 req, miss ratio 0.0521, byte miss ratio 0.0521
result/tencentBlock.ns5318.oracleGeneral.zst LRU cache size    11424, 17918875 req, miss ratio 0.0327, byte miss ratio 0.0327
result/tencentBlock.ns5318.oracleGeneral.zst LRU cache size    22849, 17918875 req, miss ratio 0.0077, byte miss ratio 0.0077
result/tencentBlock.ns5318.oracleGeneral.zst LRU cache size    45699, 17918875 req, miss ratio 0.0033, byte miss ratio 0.0033
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d-1 cache size       57, 17918875 req, miss ratio 0.5799, byte miss ratio 0.5799
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d-1 cache size      171, 17918875 req, miss ratio 0.3541, byte miss ratio 0.3541
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d-1 cache size      571, 17918875 req, miss ratio 0.1820, byte miss ratio 0.1820
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d-1 cache size     1713, 17918875 req, miss ratio 0.0731, byte miss ratio 0.0731
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d-1 cache size     5712, 17918875 req, miss ratio 0.0509, byte miss ratio 0.0509
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d-1 cache size    11424, 17918875 req, miss ratio 0.0325, byte miss ratio 0.0325
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d-1 cache size    22849, 17918875 req, miss ratio 0.0067, byte miss ratio 0.0067
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d-1 cache size    45699, 17918875 req, miss ratio 0.0033, byte miss ratio 0.0033
result/tencentBlock.ns5318.oracleGeneral.zst LRB cache size       57, 17918875 req, miss ratio 0.5316, byte miss ratio 0.5316
result/tencentBlock.ns5318.oracleGeneral.zst LRB cache size      171, 17918875 req, miss ratio 0.2818, byte miss ratio 0.2818
result/tencentBlock.ns5318.oracleGeneral.zst LRB cache size      571, 17918875 req, miss ratio 0.1767, byte miss ratio 0.1767
result/tencentBlock.ns5318.oracleGeneral.zst LRB cache size     1713, 17918875 req, miss ratio 0.0708, byte miss ratio 0.0708
result/tencentBlock.ns5318.oracleGeneral.zst LRB cache size     5712, 17918875 req, miss ratio 0.0513, byte miss ratio 0.0513
result/tencentBlock.ns5318.oracleGeneral.zst LRB cache size    11424, 17918875 req, miss ratio 0.0310, byte miss ratio 0.0310
result/tencentBlock.ns5318.oracleGeneral.zst LRB cache size    22849, 17918875 req, miss ratio 0.0058, byte miss ratio 0.0058
result/tencentBlock.ns5318.oracleGeneral.zst LRB cache size    45699, 17918875 req, miss ratio 0.0034, byte miss ratio 0.0034
result/tencentBlock.ns5318.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       57, 17918875 req, miss ratio 0.7381, byte miss ratio 0.7381
result/tencentBlock.ns5318.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      171, 17918875 req, miss ratio 0.4796, byte miss ratio 0.4796
result/tencentBlock.ns5318.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      571, 17918875 req, miss ratio 0.2262, byte miss ratio 0.2262
result/tencentBlock.ns5318.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1713, 17918875 req, miss ratio 0.1328, byte miss ratio 0.1328
result/tencentBlock.ns5318.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5712, 17918875 req, miss ratio 0.0575, byte miss ratio 0.0575
result/tencentBlock.ns5318.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11424, 17918875 req, miss ratio 0.0396, byte miss ratio 0.0396
result/tencentBlock.ns5318.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    22849, 17918875 req, miss ratio 0.0140, byte miss ratio 0.0140
result/tencentBlock.ns5318.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    45699, 17918875 req, miss ratio 0.0043, byte miss ratio 0.0043
result/tencentBlock.ns5318.oracleGeneral.zst B-LRU cache size       57, 17918875 req, miss ratio 0.6626, byte miss ratio 0.6626
result/tencentBlock.ns5318.oracleGeneral.zst B-LRU cache size      171, 17918875 req, miss ratio 0.4584, byte miss ratio 0.4584
result/tencentBlock.ns5318.oracleGeneral.zst B-LRU cache size      571, 17918875 req, miss ratio 0.2171, byte miss ratio 0.2171
result/tencentBlock.ns5318.oracleGeneral.zst B-LRU cache size     1713, 17918875 req, miss ratio 0.1401, byte miss ratio 0.1401
result/tencentBlock.ns5318.oracleGeneral.zst B-LRU cache size     5712, 17918875 req, miss ratio 0.0527, byte miss ratio 0.0527
result/tencentBlock.ns5318.oracleGeneral.zst B-LRU cache size    11424, 17918875 req, miss ratio 0.0334, byte miss ratio 0.0334
result/tencentBlock.ns5318.oracleGeneral.zst B-LRU cache size    22849, 17918875 req, miss ratio 0.0082, byte miss ratio 0.0082
result/tencentBlock.ns5318.oracleGeneral.zst B-LRU cache size    45699, 17918875 req, miss ratio 0.0053, byte miss ratio 0.0053
result/tencentBlock.ns5318.oracleGeneral.zst TwoQ cache size       57, 17918875 req, miss ratio 0.5908, byte miss ratio 0.5908
result/tencentBlock.ns5318.oracleGeneral.zst TwoQ cache size      171, 17918875 req, miss ratio 0.3159, byte miss ratio 0.3159
result/tencentBlock.ns5318.oracleGeneral.zst TwoQ cache size      571, 17918875 req, miss ratio 0.1894, byte miss ratio 0.1894
result/tencentBlock.ns5318.oracleGeneral.zst TwoQ cache size     1713, 17918875 req, miss ratio 0.0893, byte miss ratio 0.0893
result/tencentBlock.ns5318.oracleGeneral.zst TwoQ cache size     5712, 17918875 req, miss ratio 0.0507, byte miss ratio 0.0507
result/tencentBlock.ns5318.oracleGeneral.zst TwoQ cache size    11424, 17918875 req, miss ratio 0.0322, byte miss ratio 0.0322
result/tencentBlock.ns5318.oracleGeneral.zst TwoQ cache size    22849, 17918875 req, miss ratio 0.0086, byte miss ratio 0.0086
result/tencentBlock.ns5318.oracleGeneral.zst TwoQ cache size    45699, 17918875 req, miss ratio 0.0046, byte miss ratio 0.0046
result/tencentBlock.ns5318.oracleGeneral.zst S4LRU(25:25:25:25) cache size       57, 17918875 req, miss ratio 0.6406, byte miss ratio 0.6406
result/tencentBlock.ns5318.oracleGeneral.zst S4LRU(25:25:25:25) cache size      171, 17918875 req, miss ratio 0.5403, byte miss ratio 0.5403
result/tencentBlock.ns5318.oracleGeneral.zst S4LRU(25:25:25:25) cache size      571, 17918875 req, miss ratio 0.1917, byte miss ratio 0.1917
result/tencentBlock.ns5318.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1713, 17918875 req, miss ratio 0.1257, byte miss ratio 0.1257
result/tencentBlock.ns5318.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5712, 17918875 req, miss ratio 0.0521, byte miss ratio 0.0521
result/tencentBlock.ns5318.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11424, 17918875 req, miss ratio 0.0338, byte miss ratio 0.0338
result/tencentBlock.ns5318.oracleGeneral.zst S4LRU(25:25:25:25) cache size    22849, 17918875 req, miss ratio 0.0069, byte miss ratio 0.0069
result/tencentBlock.ns5318.oracleGeneral.zst S4LRU(25:25:25:25) cache size    45699, 17918875 req, miss ratio 0.0033, byte miss ratio 0.0033
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO cache size       57, 17918875 req, miss ratio 0.5710, byte miss ratio 0.5710
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO cache size      171, 17918875 req, miss ratio 0.2880, byte miss ratio 0.2880
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO cache size      571, 17918875 req, miss ratio 0.1825, byte miss ratio 0.1825
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO cache size     1713, 17918875 req, miss ratio 0.0766, byte miss ratio 0.0766
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO cache size     5712, 17918875 req, miss ratio 0.0508, byte miss ratio 0.0508
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO cache size    11424, 17918875 req, miss ratio 0.0326, byte miss ratio 0.0326
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO cache size    22849, 17918875 req, miss ratio 0.0067, byte miss ratio 0.0067
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO cache size    45699, 17918875 req, miss ratio 0.0033, byte miss ratio 0.0033
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d cache size       57, 17918875 req, miss ratio 0.6335, byte miss ratio 0.6335
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d cache size      171, 17918875 req, miss ratio 0.4776, byte miss ratio 0.4776
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d cache size      571, 17918875 req, miss ratio 0.1894, byte miss ratio 0.1894
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d cache size     1713, 17918875 req, miss ratio 0.0735, byte miss ratio 0.0735
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d cache size     5712, 17918875 req, miss ratio 0.0509, byte miss ratio 0.0509
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d cache size    11424, 17918875 req, miss ratio 0.0329, byte miss ratio 0.0329
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d cache size    22849, 17918875 req, miss ratio 0.0067, byte miss ratio 0.0067
result/tencentBlock.ns5318.oracleGeneral.zst S3FIFO-d cache size    45699, 17918875 req, miss ratio 0.0033, byte miss ratio 0.0033
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       57, 17918875 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      171, 17918875 req, miss ratio 0.3334, byte miss ratio 0.3334
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      571, 17918875 req, miss ratio 0.1801, byte miss ratio 0.1801
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1713, 17918875 req, miss ratio 0.0742, byte miss ratio 0.0742
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5712, 17918875 req, miss ratio 0.0552, byte miss ratio 0.0552
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11424, 17918875 req, miss ratio 0.0370, byte miss ratio 0.0370
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    22849, 17918875 req, miss ratio 0.0056, byte miss ratio 0.0056
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    45699, 17918875 req, miss ratio 0.0033, byte miss ratio 0.0033
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       57, 17918875 req, miss ratio 0.5279, byte miss ratio 0.5279
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      171, 17918875 req, miss ratio 0.3150, byte miss ratio 0.3150
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      571, 17918875 req, miss ratio 0.1821, byte miss ratio 0.1821
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1713, 17918875 req, miss ratio 0.0758, byte miss ratio 0.0758
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5712, 17918875 req, miss ratio 0.0508, byte miss ratio 0.0508
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11424, 17918875 req, miss ratio 0.0311, byte miss ratio 0.0311
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    22849, 17918875 req, miss ratio 0.0059, byte miss ratio 0.0059
result/tencentBlock.ns5318.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    45699, 17918875 req, miss ratio 0.0032, byte miss ratio 0.0032
