result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d-1 cache size      212, 1497041 req, miss ratio 0.8863, byte miss ratio 0.8863
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d-1 cache size      636, 1497041 req, miss ratio 0.8407, byte miss ratio 0.8407
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d-1 cache size     2120, 1497041 req, miss ratio 0.6551, byte miss ratio 0.6551
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d-1 cache size     6360, 1497041 req, miss ratio 0.5194, byte miss ratio 0.5194
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d-1 cache size    21200, 1497041 req, miss ratio 0.3264, byte miss ratio 0.3264
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d-1 cache size    42400, 1497041 req, miss ratio 0.1944, byte miss ratio 0.1944
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d-1 cache size    84801, 1497041 req, miss ratio 0.1651, byte miss ratio 0.1651
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d-1 cache size   169603, 1497041 req, miss ratio 0.1422, byte miss ratio 0.1422
result/tencentBlock.ns10699.oracleGeneral.zst LRB cache size      212, 1497041 req, miss ratio 0.8987, byte miss ratio 0.8987
result/tencentBlock.ns10699.oracleGeneral.zst LRB cache size      636, 1497041 req, miss ratio 0.8287, byte miss ratio 0.8287
result/tencentBlock.ns10699.oracleGeneral.zst LRB cache size     2120, 1497041 req, miss ratio 0.6750, byte miss ratio 0.6750
result/tencentBlock.ns10699.oracleGeneral.zst LRB cache size     6360, 1497041 req, miss ratio 0.5301, byte miss ratio 0.5301
result/tencentBlock.ns10699.oracleGeneral.zst LRB cache size    21200, 1497041 req, miss ratio 0.3232, byte miss ratio 0.3232
result/tencentBlock.ns10699.oracleGeneral.zst LRB cache size    42400, 1497041 req, miss ratio 0.2062, byte miss ratio 0.2062
result/tencentBlock.ns10699.oracleGeneral.zst LRB cache size    84801, 1497041 req, miss ratio 0.1671, byte miss ratio 0.1671
result/tencentBlock.ns10699.oracleGeneral.zst LRB cache size   169603, 1497041 req, miss ratio 0.1422, byte miss ratio 0.1422
result/tencentBlock.ns10699.oracleGeneral.zst TwoQ cache size      212, 1497041 req, miss ratio 0.8909, byte miss ratio 0.8909
result/tencentBlock.ns10699.oracleGeneral.zst TwoQ cache size      636, 1497041 req, miss ratio 0.8509, byte miss ratio 0.8509
result/tencentBlock.ns10699.oracleGeneral.zst TwoQ cache size     2120, 1497041 req, miss ratio 0.6699, byte miss ratio 0.6699
result/tencentBlock.ns10699.oracleGeneral.zst TwoQ cache size     6360, 1497041 req, miss ratio 0.5421, byte miss ratio 0.5421
result/tencentBlock.ns10699.oracleGeneral.zst TwoQ cache size    21200, 1497041 req, miss ratio 0.3426, byte miss ratio 0.3426
result/tencentBlock.ns10699.oracleGeneral.zst TwoQ cache size    42400, 1497041 req, miss ratio 0.2153, byte miss ratio 0.2153
result/tencentBlock.ns10699.oracleGeneral.zst TwoQ cache size    84801, 1497041 req, miss ratio 0.1868, byte miss ratio 0.1868
result/tencentBlock.ns10699.oracleGeneral.zst TwoQ cache size   169603, 1497041 req, miss ratio 0.1603, byte miss ratio 0.1603
result/tencentBlock.ns10699.oracleGeneral.zst B-LRU cache size      212, 1497041 req, miss ratio 0.9170, byte miss ratio 0.9170
result/tencentBlock.ns10699.oracleGeneral.zst B-LRU cache size      636, 1497041 req, miss ratio 0.9009, byte miss ratio 0.9009
result/tencentBlock.ns10699.oracleGeneral.zst B-LRU cache size     2120, 1497041 req, miss ratio 0.7829, byte miss ratio 0.7829
result/tencentBlock.ns10699.oracleGeneral.zst B-LRU cache size     6360, 1497041 req, miss ratio 0.6390, byte miss ratio 0.6390
result/tencentBlock.ns10699.oracleGeneral.zst B-LRU cache size    21200, 1497041 req, miss ratio 0.4380, byte miss ratio 0.4380
result/tencentBlock.ns10699.oracleGeneral.zst B-LRU cache size    42400, 1497041 req, miss ratio 0.2226, byte miss ratio 0.2226
result/tencentBlock.ns10699.oracleGeneral.zst B-LRU cache size    84801, 1497041 req, miss ratio 0.2019, byte miss ratio 0.2019
result/tencentBlock.ns10699.oracleGeneral.zst B-LRU cache size   169603, 1497041 req, miss ratio 0.2018, byte miss ratio 0.2018
result/tencentBlock.ns10699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      212, 1497041 req, miss ratio 0.9109, byte miss ratio 0.9109
result/tencentBlock.ns10699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      636, 1497041 req, miss ratio 0.8840, byte miss ratio 0.8840
result/tencentBlock.ns10699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2120, 1497041 req, miss ratio 0.7983, byte miss ratio 0.7983
result/tencentBlock.ns10699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6360, 1497041 req, miss ratio 0.6527, byte miss ratio 0.6527
result/tencentBlock.ns10699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    21200, 1497041 req, miss ratio 0.4270, byte miss ratio 0.4270
result/tencentBlock.ns10699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    42400, 1497041 req, miss ratio 0.2790, byte miss ratio 0.2790
result/tencentBlock.ns10699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    84801, 1497041 req, miss ratio 0.1948, byte miss ratio 0.1948
result/tencentBlock.ns10699.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   169603, 1497041 req, miss ratio 0.1540, byte miss ratio 0.1540
result/tencentBlock.ns10699.oracleGeneral.zst S4LRU(25:25:25:25) cache size      212, 1497041 req, miss ratio 0.8889, byte miss ratio 0.8889
result/tencentBlock.ns10699.oracleGeneral.zst S4LRU(25:25:25:25) cache size      636, 1497041 req, miss ratio 0.8586, byte miss ratio 0.8586
