result/tencentBlock.ns2034.oracleGeneral.zst LRB cache size     2125, 1478854 req, miss ratio 0.4819, byte miss ratio 0.4819
result/tencentBlock.ns2034.oracleGeneral.zst LRB cache size     6375, 1478854 req, miss ratio 0.4457, byte miss ratio 0.4457
result/tencentBlock.ns2034.oracleGeneral.zst LRB cache size    21253, 1478854 req, miss ratio 0.3856, byte miss ratio 0.3856
result/tencentBlock.ns2034.oracleGeneral.zst LRB cache size    42506, 1478854 req, miss ratio 0.3178, byte miss ratio 0.3178
result/tencentBlock.ns2034.oracleGeneral.zst LRB cache size    85012, 1478854 req, miss ratio 0.1950, byte miss ratio 0.1950
result/tencentBlock.ns2034.oracleGeneral.zst LRB cache size   170024, 1478854 req, miss ratio 0.1443, byte miss ratio 0.1443
result/tencentBlock.ns2034.oracleGeneral.zst S4LRU(25:25:25:25) cache size      212, 1478854 req, miss ratio 0.5417, byte miss ratio 0.5417
result/tencentBlock.ns2034.oracleGeneral.zst S4LRU(25:25:25:25) cache size      637, 1478854 req, miss ratio 0.5299, byte miss ratio 0.5299
result/tencentBlock.ns2034.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2125, 1478854 req, miss ratio 0.5143, byte miss ratio 0.5143
result/tencentBlock.ns2034.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6375, 1478854 req, miss ratio 0.4831, byte miss ratio 0.4831
result/tencentBlock.ns2034.oracleGeneral.zst S4LRU(25:25:25:25) cache size    21253, 1478854 req, miss ratio 0.4431, byte miss ratio 0.4431
result/tencentBlock.ns2034.oracleGeneral.zst S4LRU(25:25:25:25) cache size    42506, 1478854 req, miss ratio 0.3941, byte miss ratio 0.3941
result/tencentBlock.ns2034.oracleGeneral.zst S4LRU(25:25:25:25) cache size    85012, 1478854 req, miss ratio 0.2545, byte miss ratio 0.2545
result/tencentBlock.ns2034.oracleGeneral.zst S4LRU(25:25:25:25) cache size   170024, 1478854 req, miss ratio 0.1449, byte miss ratio 0.1449
result/tencentBlock.ns2034.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      212, 1478854 req, miss ratio 0.5611, byte miss ratio 0.5611
result/tencentBlock.ns2034.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      637, 1478854 req, miss ratio 0.5328, byte miss ratio 0.5328
result/tencentBlock.ns2034.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2125, 1478854 req, miss ratio 0.5139, byte miss ratio 0.5139
result/tencentBlock.ns2034.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6375, 1478854 req, miss ratio 0.4892, byte miss ratio 0.4892
result/tencentBlock.ns2034.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    21253, 1478854 req, miss ratio 0.4569, byte miss ratio 0.4569
result/tencentBlock.ns2034.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    42506, 1478854 req, miss ratio 0.3976, byte miss ratio 0.3976
result/tencentBlock.ns2034.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    85012, 1478854 req, miss ratio 0.2861, byte miss ratio 0.2861
result/tencentBlock.ns2034.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   170024, 1478854 req, miss ratio 0.1663, byte miss ratio 0.1663
result/tencentBlock.ns2034.oracleGeneral.zst B-LRU cache size      212, 1478854 req, miss ratio 0.6012, byte miss ratio 0.6012
result/tencentBlock.ns2034.oracleGeneral.zst B-LRU cache size      637, 1478854 req, miss ratio 0.5870, byte miss ratio 0.5870
result/tencentBlock.ns2034.oracleGeneral.zst B-LRU cache size     2125, 1478854 req, miss ratio 0.5699, byte miss ratio 0.5699
result/tencentBlock.ns2034.oracleGeneral.zst B-LRU cache size     6375, 1478854 req, miss ratio 0.5356, byte miss ratio 0.5356
result/tencentBlock.ns2034.oracleGeneral.zst B-LRU cache size    21253, 1478854 req, miss ratio 0.4920, byte miss ratio 0.4920
result/tencentBlock.ns2034.oracleGeneral.zst B-LRU cache size    42506, 1478854 req, miss ratio 0.4506, byte miss ratio 0.4506
result/tencentBlock.ns2034.oracleGeneral.zst B-LRU cache size    85012, 1478854 req, miss ratio 0.2856, byte miss ratio 0.2856
result/tencentBlock.ns2034.oracleGeneral.zst B-LRU cache size   170024, 1478854 req, miss ratio 0.2586, byte miss ratio 0.2586
result/tencentBlock.ns2034.oracleGeneral.zst TwoQ cache size      212, 1478854 req, miss ratio 0.5342, byte miss ratio 0.5342
result/tencentBlock.ns2034.oracleGeneral.zst TwoQ cache size      637, 1478854 req, miss ratio 0.5031, byte miss ratio 0.5031
result/tencentBlock.ns2034.oracleGeneral.zst TwoQ cache size     2125, 1478854 req, miss ratio 0.4915, byte miss ratio 0.4915
result/tencentBlock.ns2034.oracleGeneral.zst TwoQ cache size     6375, 1478854 req, miss ratio 0.4675, byte miss ratio 0.4675
result/tencentBlock.ns2034.oracleGeneral.zst TwoQ cache size    21253, 1478854 req, miss ratio 0.4009, byte miss ratio 0.4009
result/tencentBlock.ns2034.oracleGeneral.zst TwoQ cache size    42506, 1478854 req, miss ratio 0.3353, byte miss ratio 0.3353
result/tencentBlock.ns2034.oracleGeneral.zst TwoQ cache size    85012, 1478854 req, miss ratio 0.2094, byte miss ratio 0.2094
result/tencentBlock.ns2034.oracleGeneral.zst TwoQ cache size   170024, 1478854 req, miss ratio 0.1706, byte miss ratio 0.1706
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d cache size      212, 1478854 req, miss ratio 0.5350, byte miss ratio 0.5350
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d cache size      637, 1478854 req, miss ratio 0.5127, byte miss ratio 0.5127
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d cache size     2125, 1478854 req, miss ratio 0.4866, byte miss ratio 0.4866
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d cache size     6375, 1478854 req, miss ratio 0.4672, byte miss ratio 0.4672
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d cache size    21253, 1478854 req, miss ratio 0.4052, byte miss ratio 0.4052
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d cache size    42506, 1478854 req, miss ratio 0.3463, byte miss ratio 0.3463
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d cache size    85012, 1478854 req, miss ratio 0.2209, byte miss ratio 0.2209
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO-d cache size   170024, 1478854 req, miss ratio 0.1460, byte miss ratio 0.1460
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO cache size      212, 1478854 req, miss ratio 0.5402, byte miss ratio 0.5402
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO cache size      637, 1478854 req, miss ratio 0.5158, byte miss ratio 0.5158
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO cache size     2125, 1478854 req, miss ratio 0.4867, byte miss ratio 0.4867
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO cache size     6375, 1478854 req, miss ratio 0.4672, byte miss ratio 0.4672
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO cache size    21253, 1478854 req, miss ratio 0.4053, byte miss ratio 0.4053
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO cache size    42506, 1478854 req, miss ratio 0.3582, byte miss ratio 0.3582
result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO cache size    85012, 1478854 req, miss ratio 0.2181, byte miss ratio 0.2181
