result/tencentBlock.ns14879.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    62006, 2894512 req, miss ratio 0.1757, byte miss ratio 0.1757
result/tencentBlock.ns14879.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   124013, 2894512 req, miss ratio 0.1329, byte miss ratio 0.1329
result/tencentBlock.ns14879.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   248027, 2894512 req, miss ratio 0.1110, byte miss ratio 0.1110
result/tencentBlock.ns14879.oracleGeneral.zst TwoQ cache size      310, 2894512 req, miss ratio 0.5108, byte miss ratio 0.5108
result/tencentBlock.ns14879.oracleGeneral.zst TwoQ cache size      930, 2894512 req, miss ratio 0.3703, byte miss ratio 0.3703
result/tencentBlock.ns14879.oracleGeneral.zst TwoQ cache size     3100, 2894512 req, miss ratio 0.2699, byte miss ratio 0.2699
result/tencentBlock.ns14879.oracleGeneral.zst TwoQ cache size     9301, 2894512 req, miss ratio 0.2498, byte miss ratio 0.2498
result/tencentBlock.ns14879.oracleGeneral.zst TwoQ cache size    31003, 2894512 req, miss ratio 0.1885, byte miss ratio 0.1885
result/tencentBlock.ns14879.oracleGeneral.zst TwoQ cache size    62006, 2894512 req, miss ratio 0.1464, byte miss ratio 0.1464
result/tencentBlock.ns14879.oracleGeneral.zst TwoQ cache size   124013, 2894512 req, miss ratio 0.1269, byte miss ratio 0.1269
result/tencentBlock.ns14879.oracleGeneral.zst TwoQ cache size   248027, 2894512 req, miss ratio 0.1135, byte miss ratio 0.1135
result/tencentBlock.ns14879.oracleGeneral.zst B-LRU cache size      310, 2894512 req, miss ratio 0.5435, byte miss ratio 0.5435
result/tencentBlock.ns14879.oracleGeneral.zst B-LRU cache size      930, 2894512 req, miss ratio 0.4384, byte miss ratio 0.4384
result/tencentBlock.ns14879.oracleGeneral.zst B-LRU cache size     3100, 2894512 req, miss ratio 0.3168, byte miss ratio 0.3168
result/tencentBlock.ns14879.oracleGeneral.zst B-LRU cache size     9301, 2894512 req, miss ratio 0.2843, byte miss ratio 0.2843
result/tencentBlock.ns14879.oracleGeneral.zst B-LRU cache size    31003, 2894512 req, miss ratio 0.2233, byte miss ratio 0.2233
result/tencentBlock.ns14879.oracleGeneral.zst B-LRU cache size    62006, 2894512 req, miss ratio 0.1925, byte miss ratio 0.1925
result/tencentBlock.ns14879.oracleGeneral.zst B-LRU cache size   124013, 2894512 req, miss ratio 0.1782, byte miss ratio 0.1782
