result/tencentBlock.ns20496.oracleGeneral.zst LIRS cache size   194020, 1978895 req, miss ratio 0.1242, byte miss ratio 0.1242
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size      242, 1978895 req, miss ratio 0.5389, byte miss ratio 0.5389
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size      727, 1978895 req, miss ratio 0.5046, byte miss ratio 0.5046
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size     2425, 1978895 req, miss ratio 0.4299, byte miss ratio 0.4299
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size     7275, 1978895 req, miss ratio 0.4119, byte miss ratio 0.4119
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size    24252, 1978895 req, miss ratio 0.3169, byte miss ratio 0.3169
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size    48505, 1978895 req, miss ratio 0.2564, byte miss ratio 0.2564
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size    97010, 1978895 req, miss ratio 0.1732, byte miss ratio 0.1732
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size   194020, 1978895 req, miss ratio 0.1232, byte miss ratio 0.1232
result/tencentBlock.ns20496.oracleGeneral.zst LRB cache size      242, 1978895 req, miss ratio 0.5624, byte miss ratio 0.5624
result/tencentBlock.ns20496.oracleGeneral.zst LRB cache size      727, 1978895 req, miss ratio 0.5067, byte miss ratio 0.5067
result/tencentBlock.ns20496.oracleGeneral.zst LRB cache size     2425, 1978895 req, miss ratio 0.4437, byte miss ratio 0.4437
result/tencentBlock.ns20496.oracleGeneral.zst LRB cache size     7275, 1978895 req, miss ratio 0.4046, byte miss ratio 0.4046
result/tencentBlock.ns20496.oracleGeneral.zst LRB cache size    24252, 1978895 req, miss ratio 0.3161, byte miss ratio 0.3161
result/tencentBlock.ns20496.oracleGeneral.zst LRB cache size    48505, 1978895 req, miss ratio 0.2471, byte miss ratio 0.2471
result/tencentBlock.ns20496.oracleGeneral.zst LRB cache size    97010, 1978895 req, miss ratio 0.1657, byte miss ratio 0.1657
result/tencentBlock.ns20496.oracleGeneral.zst LRB cache size   194020, 1978895 req, miss ratio 0.1232, byte miss ratio 0.1232
result/tencentBlock.ns20496.oracleGeneral.zst S4LRU(25:25:25:25) cache size      242, 1978895 req, miss ratio 0.5559, byte miss ratio 0.5559
result/tencentBlock.ns20496.oracleGeneral.zst S4LRU(25:25:25:25) cache size      727, 1978895 req, miss ratio 0.5136, byte miss ratio 0.5136
result/tencentBlock.ns20496.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2425, 1978895 req, miss ratio 0.4361, byte miss ratio 0.4361
result/tencentBlock.ns20496.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7275, 1978895 req, miss ratio 0.4165, byte miss ratio 0.4165
result/tencentBlock.ns20496.oracleGeneral.zst S4LRU(25:25:25:25) cache size    24252, 1978895 req, miss ratio 0.3696, byte miss ratio 0.3696
result/tencentBlock.ns20496.oracleGeneral.zst S4LRU(25:25:25:25) cache size    48505, 1978895 req, miss ratio 0.2857, byte miss ratio 0.2857
result/tencentBlock.ns20496.oracleGeneral.zst S4LRU(25:25:25:25) cache size    97010, 1978895 req, miss ratio 0.1897, byte miss ratio 0.1897
result/tencentBlock.ns20496.oracleGeneral.zst S4LRU(25:25:25:25) cache size   194020, 1978895 req, miss ratio 0.1231, byte miss ratio 0.1231
result/tencentBlock.ns20496.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      242, 1978895 req, miss ratio 0.6033, byte miss ratio 0.6033
result/tencentBlock.ns20496.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      727, 1978895 req, miss ratio 0.5288, byte miss ratio 0.5288
result/tencentBlock.ns20496.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2425, 1978895 req, miss ratio 0.4792, byte miss ratio 0.4792
result/tencentBlock.ns20496.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7275, 1978895 req, miss ratio 0.4321, byte miss ratio 0.4321
result/tencentBlock.ns20496.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    24252, 1978895 req, miss ratio 0.3738, byte miss ratio 0.3738
result/tencentBlock.ns20496.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    48505, 1978895 req, miss ratio 0.3084, byte miss ratio 0.3084
result/tencentBlock.ns20496.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    97010, 1978895 req, miss ratio 0.2030, byte miss ratio 0.2030
result/tencentBlock.ns20496.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   194020, 1978895 req, miss ratio 0.1315, byte miss ratio 0.1315
result/tencentBlock.ns20496.oracleGeneral.zst TwoQ cache size      242, 1978895 req, miss ratio 0.5396, byte miss ratio 0.5396
result/tencentBlock.ns20496.oracleGeneral.zst TwoQ cache size      727, 1978895 req, miss ratio 0.4960, byte miss ratio 0.4960
result/tencentBlock.ns20496.oracleGeneral.zst TwoQ cache size     2425, 1978895 req, miss ratio 0.4326, byte miss ratio 0.4326
result/tencentBlock.ns20496.oracleGeneral.zst TwoQ cache size     7275, 1978895 req, miss ratio 0.4154, byte miss ratio 0.4154
result/tencentBlock.ns20496.oracleGeneral.zst TwoQ cache size    24252, 1978895 req, miss ratio 0.3248, byte miss ratio 0.3248
result/tencentBlock.ns20496.oracleGeneral.zst TwoQ cache size    48505, 1978895 req, miss ratio 0.2642, byte miss ratio 0.2642
result/tencentBlock.ns20496.oracleGeneral.zst TwoQ cache size    97010, 1978895 req, miss ratio 0.1864, byte miss ratio 0.1864
result/tencentBlock.ns20496.oracleGeneral.zst TwoQ cache size   194020, 1978895 req, miss ratio 0.1322, byte miss ratio 0.1322
result/tencentBlock.ns20496.oracleGeneral.zst B-LRU cache size      242, 1978895 req, miss ratio 0.5926, byte miss ratio 0.5926
result/tencentBlock.ns20496.oracleGeneral.zst B-LRU cache size      727, 1978895 req, miss ratio 0.5464, byte miss ratio 0.5464
