result/tencentBlock.ns3944.oracleGeneral.zst TwoQ cache size   269111, 25965545 req, miss ratio 0.8040, byte miss ratio 0.8040
result/tencentBlock.ns3944.oracleGeneral.zst TwoQ cache size   897038, 25965545 req, miss ratio 0.7240, byte miss ratio 0.7240
result/tencentBlock.ns3944.oracleGeneral.zst TwoQ cache size  1794076, 25965545 req, miss ratio 0.5486, byte miss ratio 0.5486
result/tencentBlock.ns3944.oracleGeneral.zst TwoQ cache size  3588152, 25965545 req, miss ratio 0.5350, byte miss ratio 0.5350
result/tencentBlock.ns3944.oracleGeneral.zst TwoQ cache size  7176305, 25965545 req, miss ratio 0.5181, byte miss ratio 0.5181
result/tencentBlock.ns3944.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8970, 25965545 req, miss ratio 0.9143, byte miss ratio 0.9143
result/tencentBlock.ns3944.oracleGeneral.zst S4LRU(25:25:25:25) cache size    26911, 25965545 req, miss ratio 0.8988, byte miss ratio 0.8988
result/tencentBlock.ns3944.oracleGeneral.zst S4LRU(25:25:25:25) cache size    89703, 25965545 req, miss ratio 0.8615, byte miss ratio 0.8615
result/tencentBlock.ns3944.oracleGeneral.zst S4LRU(25:25:25:25) cache size   269111, 25965545 req, miss ratio 0.7880, byte miss ratio 0.7880
result/tencentBlock.ns3944.oracleGeneral.zst S4LRU(25:25:25:25) cache size   897038, 25965545 req, miss ratio 0.7252, byte miss ratio 0.7252
result/tencentBlock.ns3944.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1794076, 25965545 req, miss ratio 0.6126, byte miss ratio 0.6126
result/tencentBlock.ns3944.oracleGeneral.zst S4LRU(25:25:25:25) cache size  3588152, 25965545 req, miss ratio 0.4690, byte miss ratio 0.4690
result/tencentBlock.ns3944.oracleGeneral.zst S4LRU(25:25:25:25) cache size  7176305, 25965545 req, miss ratio 0.3988, byte miss ratio 0.3988
