result/tencentBlock.ns15133.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1931, 2738546 req, miss ratio 0.2438, byte miss ratio 0.2438
result/tencentBlock.ns15133.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5795, 2738546 req, miss ratio 0.2144, byte miss ratio 0.2144
result/tencentBlock.ns15133.oracleGeneral.zst S4LRU(25:25:25:25) cache size    19316, 2738546 req, miss ratio 0.1703, byte miss ratio 0.1703
result/tencentBlock.ns15133.oracleGeneral.zst S4LRU(25:25:25:25) cache size    38633, 2738546 req, miss ratio 0.1280, byte miss ratio 0.1280
result/tencentBlock.ns15133.oracleGeneral.zst S4LRU(25:25:25:25) cache size    77267, 2738546 req, miss ratio 0.0839, byte miss ratio 0.0839
result/tencentBlock.ns15133.oracleGeneral.zst S4LRU(25:25:25:25) cache size   154534, 2738546 req, miss ratio 0.0723, byte miss ratio 0.0723
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d cache size      193, 2738546 req, miss ratio 0.6663, byte miss ratio 0.6663
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d cache size      579, 2738546 req, miss ratio 0.4273, byte miss ratio 0.4273
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d cache size     1931, 2738546 req, miss ratio 0.2399, byte miss ratio 0.2399
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d cache size     5795, 2738546 req, miss ratio 0.2055, byte miss ratio 0.2055
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d cache size    19316, 2738546 req, miss ratio 0.1590, byte miss ratio 0.1590
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d cache size    38633, 2738546 req, miss ratio 0.1202, byte miss ratio 0.1202
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d cache size    77267, 2738546 req, miss ratio 0.0825, byte miss ratio 0.0825
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-d cache size   154534, 2738546 req, miss ratio 0.0718, byte miss ratio 0.0718
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO cache size      193, 2738546 req, miss ratio 0.5236, byte miss ratio 0.5236
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO cache size      579, 2738546 req, miss ratio 0.4277, byte miss ratio 0.4277
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO cache size     1931, 2738546 req, miss ratio 0.2401, byte miss ratio 0.2401
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO cache size     5795, 2738546 req, miss ratio 0.2056, byte miss ratio 0.2056
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO cache size    19316, 2738546 req, miss ratio 0.1592, byte miss ratio 0.1592
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO cache size    38633, 2738546 req, miss ratio 0.1223, byte miss ratio 0.1223
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO cache size    77267, 2738546 req, miss ratio 0.0827, byte miss ratio 0.0827
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO cache size   154534, 2738546 req, miss ratio 0.0718, byte miss ratio 0.0718
result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      193, 2738546 req, miss ratio 0.5506, byte miss ratio 0.5506
result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      579, 2738546 req, miss ratio 0.4725, byte miss ratio 0.4725
