result/2016_LUN1.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  6024190, 492030661 req, miss ratio 0.3487, byte miss ratio 0.3487
result/2016_LUN1.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 12048381, 492030661 req, miss ratio 0.2535, byte miss ratio 0.2535
result/2016_LUN1.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 24096762, 492030661 req, miss ratio 0.1855, byte miss ratio 0.1855
result/2016_LUN1.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 48193525, 492030661 req, miss ratio 0.1323, byte miss ratio 0.1323
result/2016_LUN1.oracleGeneral.zst                          Cacheus cache size    60241, 492030661 req, miss ratio 0.7709, byte miss ratio 0.7709
result/2016_LUN1.oracleGeneral.zst                          Cacheus cache size   180725, 492030661 req, miss ratio 0.7394, byte miss ratio 0.7394
result/2016_LUN1.oracleGeneral.zst                          Cacheus cache size   602419, 492030661 req, miss ratio 0.6813, byte miss ratio 0.6813
result/2016_LUN1.oracleGeneral.zst                          Cacheus cache size  1807257, 492030661 req, miss ratio 0.5637, byte miss ratio 0.5637
result/2016_LUN1.oracleGeneral.zst                          Cacheus cache size  6024190, 492030661 req, miss ratio 0.3460, byte miss ratio 0.3460
result/2016_LUN1.oracleGeneral.zst                          Cacheus cache size 12048381, 492030661 req, miss ratio 0.2330, byte miss ratio 0.2330
result/2016_LUN1.oracleGeneral.zst                          Cacheus cache size 24096762, 492030661 req, miss ratio 0.1735, byte miss ratio 0.1735
result/2016_LUN1.oracleGeneral.zst                          Cacheus cache size 48193525, 492030661 req, miss ratio 0.1239, byte miss ratio 0.1239
result/2016_LUN1.oracleGeneral.zst    S3FIFO cache size    60241, 492030661 req, miss ratio 0.7656, byte miss ratio 0.7656
result/2016_LUN1.oracleGeneral.zst    S3FIFO cache size   180725, 492030661 req, miss ratio 0.7310, byte miss ratio 0.7310
result/2016_LUN1.oracleGeneral.zst    S3FIFO cache size   602419, 492030661 req, miss ratio 0.6574, byte miss ratio 0.6574
result/2016_LUN1.oracleGeneral.zst    S3FIFO cache size  1807257, 492030661 req, miss ratio 0.5312, byte miss ratio 0.5312
result/2016_LUN1.oracleGeneral.zst    S3FIFO cache size  6024190, 492030661 req, miss ratio 0.3650, byte miss ratio 0.3650
result/2016_LUN1.oracleGeneral.zst    S3FIFO cache size 12048381, 492030661 req, miss ratio 0.2264, byte miss ratio 0.2264
result/2016_LUN1.oracleGeneral.zst    S3FIFO cache size 24096762, 492030661 req, miss ratio 0.1705, byte miss ratio 0.1705
result/2016_LUN1.oracleGeneral.zst    S3FIFO cache size 48193525, 492030661 req, miss ratio 0.1250, byte miss ratio 0.1250
result/2016_LUN1.oracleGeneral.zst                              LHD cache size    60241, 492030661 req, miss ratio 0.7716, byte miss ratio 0.7716
result/2016_LUN1.oracleGeneral.zst                              LHD cache size   180725, 492030661 req, miss ratio 0.7403, byte miss ratio 0.7403
result/2016_LUN1.oracleGeneral.zst                              LHD cache size   602419, 492030661 req, miss ratio 0.6778, byte miss ratio 0.6778
result/2016_LUN1.oracleGeneral.zst                              LHD cache size  1807257, 492030661 req, miss ratio 0.5830, byte miss ratio 0.5830
result/2016_LUN1.oracleGeneral.zst                              LHD cache size  6024190, 492030661 req, miss ratio 0.4333, byte miss ratio 0.4333
result/2016_LUN1.oracleGeneral.zst                              LHD cache size 12048381, 492030661 req, miss ratio 0.2789, byte miss ratio 0.2789
result/2016_LUN1.oracleGeneral.zst                              LHD cache size 24096762, 492030661 req, miss ratio 0.1892, byte miss ratio 0.1892
result/2016_LUN1.oracleGeneral.zst                              LHD cache size 48193525, 492030661 req, miss ratio 0.1298, byte miss ratio 0.1298
